target_flag,gender,education,home_value,age,buy_online,mosaic_group,marital,poc,occupation,mortgage,home_owner,region,new_car,home_income
Y,F,3. Bach,0,1_Unk,Y,A,,N,Sales/Service,1Low,Renter,West,7,E
Y,M,3. Bach,0,1_Unk,Y,G,Married,N,Blue Collar,1Low,Renter,South,7,C
N,F,4. Grad,459544,3_<=35,N,A,Married,U,Professional,1Low,,West,5,G
N,M,2. Some College,165952,5_<=55,Y,J,Married,N,Blue Collar,1Low,Owner,Northeast,2,F
Y,M,4. Grad,378012,1_Unk,Y,B,Married,Y,Blue Collar,2Med,Owner,South,1,L
N,M,1. HS,238056,7_>65,Y,D,Married,N,Retired,1Low,Owner,Northeast,1,E
Y,F,2. Some College,779350,6_<=65,Y,C,,N,Professional,1Low,Owner,South,5,I
N,F,1. HS,0,1_Unk,Y,G,Single,N,Sales/Service,1Low,Renter,Northeast,9,C
N,F,2. Some College,0,4_<=45,N,G,Married,Y,Sales/Service,1Low,Renter,South,5,C
Y,M,0. <HS,356103,6_<=65,Y,F,Married,Y,Retired,1Low,Owner,West,6,F
Y,F,3. Bach,616122,4_<=45,Y,C,Married,Y,Sales/Service,3High,Owner,West,1,K
N,F,2. Some College,0,3_<=35,N,E,Single,Y,Blue Collar,1Low,Renter,West,9,D
N,F,1. HS,0,1_Unk,Y,G,,Y,Sales/Service,1Low,Renter,South,8,D
Y,M,3. Bach,198380,3_<=35,N,E,Single,N,Sales/Service,1Low,Owner,Midwest,1,F
N,F,0. <HS,0,7_>65,N,H,,N,Retired,1Low,Renter,South,9,A
Y,M,4. Grad,572250,7_>65,Y,B,Married,N,Retired,1Low,Owner,West,1,J
Y,F,,190455,1_Unk,Y,I,,N,Others,1Low,Owner,South,3,E
Y,F,0. <HS,0,1_Unk,N,E,Married,U,Sales/Service,1Low,,West,9,E
N,M,1. HS,119355,5_<=55,N,H,Married,U,Sales/Service,1Low,Owner,West,1,D
N,M,1. HS,0,1_Unk,N,J,Single,U,Sales/Service,1Low,,Midwest,9,C
N,M,1. HS,0,6_<=65,N,F,Married,N,Blue Collar,1Low,Owner,Midwest,4,E
N,F,1. HS,106687,3_<=35,Y,F,,U,Blue Collar,1Low,Owner,South,8,D
N,F,1. HS,97304,6_<=65,N,B,Married,Y,Sales/Service,1Low,Owner,Midwest,1,E
Y,M,1. HS,219940,6_<=65,Y,B,Married,N,Sales/Service,1Low,Owner,South,5,D
N,M,1. HS,180667,7_>65,Y,D,Married,N,Retired,1Low,Owner,West,6,E
N,F,2. Some College,439270,7_>65,N,D,,N,Retired,1Low,Owner,Northeast,1,H
Y,F,2. Some College,541348,1_Unk,N,E,Married,Y,Sales/Service,3High,Owner,West,2,C
N,M,1. HS,0,5_<=55,N,G,Single,N,Blue Collar,1Low,Renter,Midwest,8,B
N,F,,114998,3_<=35,Y,C,,Y,Professional,1Low,Renter,South,3,E
Y,F,2. Some College,432163,5_<=55,Y,C,Single,Y,Sales/Service,3High,Owner,West,3,K
Y,M,2. Some College,0,5_<=55,Y,E,Single,U,Blue Collar,1Low,Renter,West,3,D
Y,M,3. Bach,848303,6_<=65,Y,B,Married,Y,Professional,3High,Owner,West,1,L
Y,F,0. <HS,141394,4_<=45,N,F,Single,Y,Blue Collar,1Low,Owner,Northeast,5,D
N,F,1. HS,0,6_<=65,Y,I,,N,Sales/Service,1Low,Owner,Midwest,4,C
N,M,2. Some College,261600,6_<=65,Y,D,,N,Others,3High,Owner,South,2,E
N,F,3. Bach,409731,3_<=35,Y,E,,N,Sales/Service,2Med,Owner,Northeast,2,F
N,M,3. Bach,223831,4_<=45,N,C,Married,Y,Professional,2Med,Owner,South,1,F
Y,F,4. Grad,441479,6_<=65,N,E,Married,N,Professional,1Low,Owner,West,1,E
N,F,3. Bach,165680,7_>65,Y,D,Married,U,Retired,2Med,Owner,Midwest,1,E
N,M,1. HS,140348,6_<=65,Y,J,Married,N,Sales/Service,1Low,Owner,South,5,D
Y,F,2. Some College,163520,4_<=45,Y,B,,N,Professional,1Low,Owner,South,2,E
Y,M,2. Some College,324013,5_<=55,Y,C,,Y,Professional,2Med,Owner,South,3,G
Y,F,3. Bach,325038,3_<=35,N,F,,Y,Blue Collar,1Low,,West,8,E
N,U,3. Bach,0,7_>65,Y,I,,N,Retired,1Low,Owner,South,1,D
Y,F,0. <HS,0,1_Unk,Y,G,Married,U,Sales/Service,1Low,Owner,West,4,D
Y,M,4. Grad,316536,5_<=55,Y,C,Married,Y,Professional,2Med,Owner,South,1,L
Y,F,3. Bach,490009,5_<=55,Y,C,Married,Y,Professional,2Med,Owner,South,2,H
N,M,4. Grad,137423,5_<=55,Y,C,Married,Y,Professional,1Low,Owner,South,3,E
N,M,3. Bach,559946,4_<=45,Y,B,Single,N,Professional,3High,Owner,South,1,L
Y,F,4. Grad,699780,5_<=55,N,B,Married,Y,Professional,3High,Owner,Midwest,2,L
Y,M,2. Some College,414036,5_<=55,Y,C,Married,Y,Blue Collar,1Low,Owner,West,2,F
Y,F,2. Some College,299750,5_<=55,Y,C,,N,Professional,2Med,Owner,Midwest,1,G
N,F,2. Some College,151074,4_<=45,Y,E,Single,Y,Blue Collar,1Low,,South,3,E
Y,F,4. Grad,389358,7_>65,Y,B,Married,N,Professional,1Low,Owner,South,1,E
Y,M,1. HS,0,5_<=55,Y,G,Married,U,Blue Collar,1Low,Renter,South,8,A
Y,F,2. Some College,0,4_<=45,Y,G,,U,Sales/Service,1Low,Renter,South,8,C
N,F,3. Bach,101152,4_<=45,Y,D,,N,Professional,1Low,Owner,West,9,F
Y,M,3. Bach,96681,7_>65,Y,I,,N,Retired,1Low,Owner,South,1,E
N,M,2. Some College,1033843,7_>65,N,B,Married,U,Retired,1Low,Owner,South,3,F
Y,M,1. HS,415944,5_<=55,N,C,Married,Y,Professional,3High,Owner,West,4,F
Y,M,3. Bach,880556,7_>65,Y,B,,U,Professional,3High,Owner,South,2,G
Y,M,2. Some College,242830,5_<=55,Y,B,Married,N,Professional,1Low,Owner,South,3,E
N,F,0. <HS,128118,1_Unk,Y,G,Single,Y,Sales/Service,1Low,Renter,South,9,C
Y,M,2. Some College,380595,5_<=55,Y,E,Married,N,Professional,3High,Owner,Northeast,3,F
N,F,2. Some College,364932,2_<=25,Y,C,,N,Sales/Service,2Med,Owner,South,2,H
N,M,1. HS,0,4_<=45,Y,J,Married,Y,Blue Collar,1Low,Owner,South,2,D
N,F,2. Some College,264870,2_<=25,Y,F,,Y,Professional,1Low,Owner,South,2,F
N,F,1. HS,154290,6_<=65,Y,B,Married,Y,Sales/Service,1Low,Owner,Midwest,2,E
N,F,2. Some College,22743,7_>65,N,I,,U,Retired,1Low,Owner,South,3,A
Y,F,3. Bach,0,7_>65,Y,B,,U,Retired,1Low,Renter,Northeast,3,D
Y,M,2. Some College,0,4_<=45,Y,C,Married,Y,Blue Collar,1Low,Renter,Midwest,6,F
Y,M,1. HS,187523,5_<=55,Y,F,Single,Y,Professional,1Low,,West,4,E
Y,M,3. Bach,1168478,6_<=65,Y,B,Single,N,Professional,3High,Owner,South,1,I
Y,F,2. Some College,945738,4_<=45,Y,B,,N,Sales/Service,1Low,,West,1,L
N,F,2. Some College,86328,3_<=35,N,G,Single,U,Sales/Service,1Low,,South,5,D
Y,F,3. Bach,312251,5_<=55,Y,E,Married,N,Retired,1Low,Renter,Rest,3,F
N,M,2. Some College,0,2_<=25,N,J,,Y,Sales/Service,1Low,Owner,South,2,E
N,M,0. <HS,226720,1_Unk,Y,F,,Y,Blue Collar,1Low,Owner,West,8,H
N,F,0. <HS,310944,3_<=35,Y,F,Single,Y,Sales/Service,1Low,Renter,Northeast,4,G
N,F,1. HS,120336,5_<=55,N,E,Married,Y,Professional,1Low,Renter,South,4,E
N,M,1. HS,41084,1_Unk,Y,F,,N,Sales/Service,1Low,Renter,Northeast,4,D
Y,M,1. HS,242023,4_<=45,Y,C,Married,Y,Sales/Service,1Low,Owner,Northeast,4,E
Y,F,1. HS,297930,1_Unk,Y,C,Married,Y,Sales/Service,1Low,Renter,South,2,G
N,F,4. Grad,522818,7_>65,Y,B,,Y,Professional,1Low,Owner,West,1,B
N,F,3. Bach,199470,7_>65,Y,I,Married,N,Retired,1Low,Owner,West,6,E
N,F,0. <HS,129797,1_Unk,N,F,,N,Retired,1Low,Owner,West,6,D
N,M,1. HS,245348,6_<=65,Y,E,Married,Y,Sales/Service,1Low,Owner,Northeast,6,E
Y,F,1. HS,0,5_<=55,Y,G,Single,N,Sales/Service,1Low,Renter,South,3,G
Y,F,1. HS,182967,5_<=55,Y,C,,Y,Professional,1Low,Owner,Midwest,2,F
N,F,2. Some College,250743,1_Unk,N,D,Married,N,Professional,2Med,Owner,South,2,F
Y,F,1. HS,170040,6_<=65,Y,E,,N,Others,1Low,Owner,Northeast,3,H
N,M,1. HS,519047,6_<=65,N,I,Married,N,Blue Collar,1Low,Owner,Midwest,2,D
Y,F,3. Bach,140491,6_<=65,Y,I,,Y,Professional,1Low,Renter,West,2,D
N,M,1. HS,0,4_<=45,Y,J,,U,Professional,1Low,Owner,South,3,C
Y,F,3. Bach,190641,4_<=45,N,E,Married,Y,Professional,1Low,Owner,South,3,B
Y,F,2. Some College,492069,4_<=45,Y,E,Married,Y,Professional,3High,Owner,West,3,I
N,M,0. <HS,444752,2_<=25,Y,E,,Y,Blue Collar,2Med,Owner,West,1,A
Y,F,4. Grad,0,5_<=55,N,E,Single,Y,Professional,1Low,Renter,Midwest,9,F
Y,M,3. Bach,494958,4_<=45,Y,E,Married,Y,Professional,3High,Owner,South,3,H
N,F,1. HS,197747,1_Unk,Y,F,,Y,Blue Collar,1Low,,Midwest,3,D
N,U,1. HS,427683,1_Unk,Y,A,Married,Y,Sales/Service,1Low,Renter,West,1,E
Y,F,2. Some College,115300,4_<=45,Y,F,,U,Sales/Service,1Low,,Northeast,8,A
Y,M,4. Grad,928374,5_<=55,Y,C,Married,Y,Professional,3High,Owner,Northeast,1,H
Y,F,2. Some College,171074,5_<=55,Y,A,Single,Y,Professional,1Low,,Midwest,5,J
N,M,2. Some College,0,5_<=55,N,J,Married,U,Blue Collar,1Low,Owner,Midwest,3,G
Y,M,3. Bach,163282,3_<=35,Y,F,Single,U,Sales/Service,2Med,Owner,Midwest,1,E
N,M,2. Some College,0,1_Unk,N,F,Single,U,Blue Collar,1Low,Owner,Northeast,8,E
N,F,2. Some College,0,6_<=65,Y,B,,N,Professional,1Low,Owner,Northeast,3,B
Y,M,3. Bach,4182875,4_<=45,Y,B,Married,Y,Professional,3High,Owner,West,1,L
Y,M,3. Bach,0,3_<=35,Y,A,,N,Blue Collar,1Low,Renter,South,2,E
N,M,2. Some College,498675,2_<=25,Y,B,,N,Sales/Service,1Low,Owner,West,2,K
N,M,2. Some College,590605,7_>65,Y,B,,U,Retired,1Low,Owner,South,1,K
Y,M,2. Some College,777649,5_<=55,Y,C,Married,Y,Professional,1Low,Owner,West,1,I
N,M,4. Grad,1142102,5_<=55,Y,B,Married,U,Sales/Service,3High,Owner,West,2,H
N,F,0. <HS,52483,1_Unk,N,G,Married,Y,Sales/Service,1Low,Renter,South,9,A
N,F,2. Some College,217280,1_Unk,Y,F,Single,U,Sales/Service,1Low,,Midwest,8,E
Y,M,3. Bach,324275,6_<=65,N,F,Married,U,Professional,2Med,Owner,South,8,D
Y,M,4. Grad,966219,5_<=55,Y,C,Married,Y,Professional,1Low,Owner,South,1,E
Y,M,2. Some College,0,5_<=55,N,G,,U,Sales/Service,1Low,Renter,South,4,D
N,F,1. HS,0,1_Unk,N,F,Married,Y,Blue Collar,1Low,Renter,Midwest,9,E
Y,M,3. Bach,757233,5_<=55,Y,B,Married,Y,Professional,1Low,Renter,Midwest,3,J
Y,M,4. Grad,692259,6_<=65,N,A,Single,N,Sales/Service,1Low,Renter,West,1,H
Y,M,4. Grad,348309,7_>65,Y,G,Single,N,Retired,1Low,Renter,Northeast,3,E
N,M,2. Some College,185670,7_>65,N,D,Married,N,Retired,2Med,Owner,Midwest,2,D
N,M,2. Some College,555393,1_Unk,N,C,,Y,Blue Collar,3High,Owner,West,3,F
Y,M,2. Some College,106842,4_<=45,Y,F,Married,U,Blue Collar,1Low,Owner,South,5,C
Y,M,0. <HS,0,4_<=45,N,F,Married,Y,Blue Collar,1Low,Owner,West,8,G
Y,M,3. Bach,327981,5_<=55,Y,C,Married,Y,Professional,3High,Owner,South,1,E
Y,M,2. Some College,170301,4_<=45,Y,E,Married,Y,Professional,1Low,Owner,Northeast,3,D
Y,F,3. Bach,0,4_<=45,N,D,Married,N,Professional,1Low,,South,3,B
Y,M,2. Some College,267496,2_<=25,Y,E,,Y,Blue Collar,3High,Owner,Midwest,5,F
N,M,1. HS,0,2_<=25,N,G,,U,Professional,1Low,Renter,South,7,A
Y,F,1. HS,238383,5_<=55,Y,E,Married,Y,Sales/Service,1Low,Renter,West,1,F
Y,M,2. Some College,218400,1_Unk,Y,F,Married,Y,Blue Collar,1Low,Owner,Midwest,9,C
Y,M,2. Some College,339229,5_<=55,Y,C,Married,Y,Professional,2Med,Owner,West,2,I
Y,M,,199800,1_Unk,Y,C,,Y,Others,1Low,Owner,Midwest,1,G
Y,M,4. Grad,0,6_<=65,N,G,,N,Professional,1Low,Renter,Northeast,8,G
N,F,3. Bach,217455,4_<=45,Y,F,Married,Y,Professional,1Low,Renter,West,3,U
Y,M,4. Grad,291357,5_<=55,Y,I,Married,N,Blue Collar,1Low,,Northeast,5,A
Y,M,3. Bach,636309,5_<=55,Y,B,Married,U,Professional,3High,Owner,South,1,G
Y,M,1. HS,163173,3_<=35,Y,C,,Y,Professional,1Low,Owner,South,3,F
N,F,2. Some College,140947,5_<=55,Y,G,Married,Y,Sales/Service,1Low,Renter,South,3,E
Y,F,4. Grad,1484274,5_<=55,Y,B,,N,Professional,3High,Owner,South,1,L
N,F,2. Some College,152512,2_<=25,Y,F,,Y,Sales/Service,1Low,Owner,Midwest,1,E
Y,M,4. Grad,30171,6_<=65,Y,C,Married,Y,Professional,1Low,Owner,South,3,I
N,M,1. HS,294150,5_<=55,Y,B,Married,U,Sales/Service,2Med,Owner,Midwest,2,H
N,M,1. HS,23402,5_<=55,Y,I,Married,Y,Blue Collar,1Low,Owner,South,9,F
N,M,1. HS,226240,6_<=65,N,G,Single,N,Blue Collar,1Low,Renter,Northeast,7,G
Y,F,3. Bach,0,4_<=45,N,C,,Y,Professional,1Low,Owner,South,1,H
N,M,1. HS,0,7_>65,Y,I,Married,Y,Retired,1Low,Renter,South,6,D
Y,F,3. Bach,151597,6_<=65,Y,C,,Y,Sales/Service,1Low,Owner,South,2,E
Y,M,4. Grad,445472,5_<=55,Y,C,Married,Y,Professional,3High,Owner,Northeast,1,J
N,F,2. Some College,1023455,2_<=25,Y,B,Married,N,Professional,1Low,Owner,West,1,G
N,F,2. Some College,70850,7_>65,N,F,,Y,Retired,1Low,Renter,Midwest,8,D
N,F,2. Some College,0,6_<=65,Y,E,Single,N,Retired,1Low,Renter,West,3,H
N,F,2. Some College,0,4_<=45,Y,E,,Y,Professional,1Low,Renter,West,3,B
Y,F,1. HS,209716,5_<=55,Y,D,Married,N,Sales/Service,1Low,Renter,Midwest,2,K
Y,F,2. Some College,457800,6_<=65,Y,E,Married,N,Professional,1Low,Owner,Rest,1,G
N,M,1. HS,1500000,4_<=45,N,D,Single,N,Sales/Service,1Low,,South,2,C
N,M,0. <HS,188602,7_>65,N,E,Married,Y,Retired,1Low,Owner,South,3,D
N,U,1. HS,0,3_<=35,N,G,Single,Y,Sales/Service,1Low,Renter,Northeast,9,A
Y,M,3. Bach,500457,6_<=65,Y,B,Married,N,Professional,3High,Owner,South,1,F
N,F,2. Some College,161047,4_<=45,N,J,Married,U,Sales/Service,1Low,Owner,South,2,F
Y,M,3. Bach,312710,7_>65,Y,B,Married,N,Retired,1Low,Owner,West,1,H
N,F,2. Some College,70043,4_<=45,Y,G,,Y,Sales/Service,1Low,Owner,South,3,D
N,M,0. <HS,137503,3_<=35,Y,B,Married,N,Blue Collar,1Low,Owner,South,7,F
Y,F,3. Bach,536825,3_<=35,Y,B,Married,Y,Professional,1Low,Owner,Northeast,1,J
N,M,4. Grad,1243472,5_<=55,N,B,Married,N,Professional,3High,Owner,West,1,L
Y,M,3. Bach,911839,4_<=45,Y,C,Married,Y,Professional,3High,Owner,West,4,I
N,F,1. HS,115540,7_>65,N,I,Married,N,Retired,1Low,Owner,South,3,D
N,F,4. Grad,294954,3_<=35,Y,B,Single,N,Professional,1Low,,South,1,L
Y,M,2. Some College,876960,5_<=55,Y,E,Married,N,Blue Collar,1Low,Renter,West,4,G
Y,F,4. Grad,208966,4_<=45,Y,B,Single,U,Professional,2Med,Owner,West,5,E
Y,M,4. Grad,1561752,5_<=55,Y,B,Married,Y,Professional,3High,Owner,West,1,J
Y,F,3. Bach,166159,5_<=55,Y,D,Married,N,Professional,1Low,Owner,Northeast,2,F
Y,F,1. HS,277950,4_<=45,N,E,,U,Sales/Service,1Low,Owner,Northeast,1,E
Y,F,2. Some College,211896,2_<=25,N,E,Single,Y,Sales/Service,1Low,Renter,West,4,D
N,F,2. Some College,0,2_<=25,Y,G,Married,Y,Sales/Service,1Low,Renter,Northeast,9,C
N,M,0. <HS,0,1_Unk,N,G,Single,U,Sales/Service,1Low,Renter,West,8,C
Y,F,2. Some College,1094272,6_<=65,Y,B,Married,N,Professional,3High,Owner,West,1,L
Y,M,3. Bach,240323,6_<=65,Y,B,Married,N,Professional,2Med,Owner,South,3,F
Y,F,3. Bach,835942,5_<=55,Y,C,Married,Y,Professional,2Med,Owner,West,2,H
Y,M,2. Some College,446355,1_Unk,Y,E,Married,Y,Others,3High,Owner,Northeast,1,G
N,M,0. <HS,171963,7_>65,N,D,,N,Retired,1Low,Owner,Northeast,1,G
N,F,3. Bach,337120,4_<=45,Y,B,Married,Y,Professional,1Low,Renter,Midwest,1,G
Y,F,4. Grad,445265,7_>65,Y,E,,U,Professional,2Med,Owner,Northeast,4,H
N,M,3. Bach,354250,3_<=35,N,F,Single,Y,Sales/Service,1Low,Renter,West,7,H
N,M,3. Bach,324275,5_<=55,Y,E,Married,N,Sales/Service,1Low,Renter,Northeast,1,E
N,F,0. <HS,239800,1_Unk,N,H,,N,Sales/Service,1Low,Owner,South,8,C
Y,F,4. Grad,0,7_>65,Y,G,,N,Professional,1Low,Renter,West,9,D
N,M,3. Bach,250198,1_Unk,N,G,Single,U,Blue Collar,1Low,Renter,West,8,D
Y,M,3. Bach,1138254,4_<=45,N,B,,Y,Professional,3High,Owner,West,3,I
Y,M,1. HS,548106,6_<=65,Y,E,Married,U,Blue Collar,1Low,Owner,West,6,E
Y,F,1. HS,0,1_Unk,Y,G,Single,U,Sales/Service,1Low,Renter,South,8,D
Y,M,3. Bach,266265,6_<=65,N,B,,U,Retired,1Low,,South,6,G
N,M,1. HS,5000,1_Unk,Y,J,,Y,Sales/Service,1Low,Owner,South,6,D
N,F,2. Some College,318171,2_<=25,Y,B,,Y,Blue Collar,1Low,Owner,South,4,E
N,F,4. Grad,223831,5_<=55,N,C,,Y,Professional,2Med,Owner,South,1,F
N,F,2. Some College,79612,6_<=65,Y,J,Married,Y,Professional,1Low,Owner,South,2,E
N,F,3. Bach,45328,6_<=65,N,G,Single,N,Professional,1Low,Renter,South,8,B
Y,F,3. Bach,150681,4_<=45,Y,C,Married,Y,Professional,2Med,Owner,Midwest,3,G
Y,M,2. Some College,453963,4_<=45,Y,C,,Y,Sales/Service,1Low,Owner,Midwest,1,G
Y,M,1. HS,148567,7_>65,Y,E,Married,N,Retired,1Low,Owner,South,7,F
Y,M,3. Bach,458617,7_>65,Y,G,,Y,Retired,1Low,,South,2,G
N,M,4. Grad,687746,1_Unk,Y,B,Married,N,Professional,1Low,,Midwest,5,F
Y,M,0. <HS,637813,5_<=55,Y,C,Married,Y,Professional,1Low,Owner,West,1,H
Y,F,1. HS,105915,6_<=65,Y,F,Married,N,Blue Collar,1Low,Owner,Northeast,4,E
N,F,0. <HS,0,4_<=45,N,I,Married,U,Farm,1Low,,South,7,F
N,M,2. Some College,464071,2_<=25,Y,B,,N,Sales/Service,2Med,Owner,West,3,K
N,M,4. Grad,0,7_>65,Y,G,,N,Retired,1Low,Owner,West,5,A
Y,F,2. Some College,221433,1_Unk,Y,E,,Y,Blue Collar,1Low,Renter,Midwest,2,E
Y,F,2. Some College,0,1_Unk,N,E,,Y,Sales/Service,1Low,Renter,South,7,E
Y,M,3. Bach,242133,3_<=35,Y,C,Married,U,Sales/Service,2Med,Owner,South,2,F
Y,F,3. Bach,238427,7_>65,Y,E,,U,Professional,1Low,Owner,Midwest,1,G
Y,F,0. <HS,66054,3_<=35,N,J,Married,Y,Sales/Service,1Low,,Midwest,3,B
Y,F,2. Some College,116575,3_<=35,Y,F,Married,U,Blue Collar,1Low,Owner,South,8,G
N,M,1. HS,5550,7_>65,N,F,Married,Y,Sales/Service,1Low,Owner,West,4,A
N,F,2. Some College,50400,2_<=25,N,G,,N,Sales/Service,1Low,Renter,Midwest,6,C
N,F,0. <HS,114886,7_>65,N,I,Married,N,Retired,1Low,Owner,South,7,B
N,F,2. Some College,139694,7_>65,N,A,,U,Retired,1Low,Owner,Northeast,3,E
Y,F,1. HS,205628,4_<=45,Y,I,Married,Y,Sales/Service,1Low,Owner,South,5,E
Y,F,3. Bach,160949,3_<=35,Y,C,,Y,Sales/Service,2Med,Owner,Midwest,1,L
N,F,2. Some College,138321,5_<=55,N,G,,Y,Blue Collar,1Low,Renter,Midwest,8,D
Y,F,3. Bach,405578,6_<=65,Y,B,Married,N,Professional,2Med,Owner,South,1,G
Y,M,2. Some College,479600,4_<=45,N,A,Single,U,Professional,1Low,Owner,Northeast,2,F
Y,F,2. Some College,196232,2_<=25,Y,C,,Y,Blue Collar,2Med,Owner,Northeast,3,E
N,F,2. Some College,232394,5_<=55,N,E,Married,Y,Professional,2Med,Owner,South,3,E
Y,F,2. Some College,182040,2_<=25,Y,D,,N,Sales/Service,1Low,Owner,South,3,F
N,M,0. <HS,0,1_Unk,N,G,Single,U,Sales/Service,1Low,Renter,West,9,B
N,F,2. Some College,75962,7_>65,Y,D,,N,Retired,1Low,Renter,West,5,D
Y,M,3. Bach,297631,4_<=45,Y,C,Married,Y,Professional,2Med,Owner,West,2,I
Y,M,4. Grad,734006,6_<=65,Y,B,Married,Y,Professional,3High,Owner,South,1,K
N,F,4. Grad,302311,5_<=55,Y,F,,N,Sales/Service,1Low,Owner,West,7,D
Y,M,3. Bach,404662,7_>65,N,C,Married,Y,Retired,1Low,,Midwest,1,K
Y,F,2. Some College,818211,2_<=25,Y,C,,Y,Others,3High,Owner,South,1,H
Y,F,1. HS,289634,5_<=55,Y,F,Married,Y,Farm,2Med,Owner,Northeast,4,E
Y,M,4. Grad,1393238,5_<=55,N,C,Married,N,Professional,3High,Owner,West,1,D
N,F,3. Bach,174487,7_>65,N,D,,N,Retired,1Low,Owner,South,2,D
Y,M,1. HS,149875,6_<=65,N,E,Single,Y,Blue Collar,1Low,Renter,Northeast,8,D
Y,F,3. Bach,0,3_<=35,Y,F,,U,Professional,1Low,,South,8,H
N,F,4. Grad,0,4_<=45,Y,I,Married,U,Sales/Service,1Low,,Midwest,6,C
Y,M,3. Bach,458630,4_<=45,Y,C,Married,Y,Professional,1Low,Renter,South,2,F
Y,F,2. Some College,735750,4_<=45,Y,C,Married,Y,Professional,3High,Owner,South,1,K
N,M,0. <HS,161320,3_<=35,Y,D,,N,Professional,1Low,Owner,Midwest,4,E
Y,M,3. Bach,443608,1_Unk,Y,C,Married,U,Professional,1Low,Owner,Northeast,3,G
Y,F,2. Some College,266400,6_<=65,Y,B,Married,N,Professional,1Low,Owner,Midwest,1,H
N,F,3. Bach,507940,5_<=55,Y,B,Married,Y,Professional,2Med,Owner,Midwest,1,G
N,F,1. HS,315064,5_<=55,Y,E,Married,U,Professional,1Low,Owner,Northeast,2,G
N,F,2. Some College,126352,5_<=55,N,G,,Y,Professional,1Low,Renter,Northeast,3,C
N,F,0. <HS,396236,7_>65,N,G,,N,Retired,1Low,,South,2,A
N,F,1. HS,48319,7_>65,N,G,,U,Retired,1Low,,South,9,D
N,M,4. Grad,0,3_<=35,Y,J,,U,Professional,1Low,Owner,South,4,H
Y,F,1. HS,268391,4_<=45,Y,C,,Y,Professional,2Med,Owner,South,1,F
N,M,0. <HS,183675,7_>65,Y,B,,N,Retired,1Low,Owner,Midwest,4,E
N,F,3. Bach,133311,6_<=65,Y,E,,Y,Professional,1Low,Owner,Midwest,3,E
Y,F,1. HS,0,4_<=45,N,J,Married,Y,Blue Collar,1Low,Owner,Midwest,9,D
N,M,1. HS,217422,1_Unk,Y,F,Married,Y,Blue Collar,1Low,Owner,South,5,E
N,F,2. Some College,400000,4_<=45,N,G,Married,N,Sales/Service,1Low,Renter,West,2,E
N,M,3. Bach,349644,3_<=35,Y,B,,Y,Professional,2Med,Owner,Midwest,1,G
N,M,3. Bach,0,1_Unk,Y,G,Single,N,Others,1Low,Renter,South,7,H
Y,F,0. <HS,629257,7_>65,Y,D,Married,N,Retired,1Low,Owner,West,4,F
N,F,2. Some College,0,3_<=35,N,E,Single,Y,Sales/Service,1Low,Renter,West,5,F
N,F,1. HS,44341,5_<=55,Y,G,Married,N,Blue Collar,1Low,Owner,South,5,B
Y,M,3. Bach,296752,5_<=55,Y,B,Married,U,Professional,1Low,Owner,South,1,F
Y,U,2. Some College,434910,1_Unk,N,C,,Y,Professional,3High,Owner,West,8,E
Y,M,1. HS,31664,6_<=65,Y,G,,Y,Blue Collar,1Low,Owner,West,7,E
Y,M,4. Grad,295608,7_>65,Y,B,Married,N,Retired,1Low,Owner,South,2,F
Y,M,2. Some College,297570,4_<=45,N,E,Married,Y,Professional,3High,Owner,Northeast,1,F
Y,M,2. Some College,0,6_<=65,N,A,,N,Others,1Low,Renter,South,6,D
Y,M,3. Bach,363460,7_>65,Y,D,Married,N,Retired,1Low,Owner,South,1,H
Y,F,1. HS,153036,2_<=25,N,G,,Y,Sales/Service,1Low,Owner,Northeast,5,D
N,F,1. HS,857742,2_<=25,Y,B,,U,Sales/Service,1Low,Owner,South,1,G
N,F,1. HS,280784,3_<=35,Y,A,Single,U,Professional,1Low,Owner,Midwest,2,I
N,M,0. <HS,329452,5_<=55,N,B,Married,N,Professional,1Low,Owner,Midwest,3,G
Y,F,2. Some College,0,3_<=35,N,G,Single,U,Professional,1Low,Renter,South,9,C
N,F,3. Bach,461462,4_<=45,Y,C,Married,Y,Professional,3High,Owner,Northeast,1,I
Y,U,2. Some College,172480,4_<=45,Y,F,,Y,Blue Collar,1Low,,Northeast,3,G
Y,F,1. HS,0,4_<=45,Y,I,Married,U,Blue Collar,1Low,Owner,South,4,F
Y,M,3. Bach,1000000,5_<=55,Y,C,Married,Y,Professional,1Low,Owner,Northeast,1,L
Y,M,3. Bach,274747,6_<=65,Y,B,Married,N,Professional,2Med,Owner,South,2,F
Y,F,1. HS,122516,6_<=65,Y,G,Married,Y,Blue Collar,1Low,Owner,Northeast,7,D
Y,M,4. Grad,0,3_<=35,Y,A,Married,Y,Sales/Service,1Low,,South,3,D
Y,M,4. Grad,1008250,4_<=45,Y,B,Married,N,Professional,3High,Owner,Northeast,1,L
N,U,1. HS,678394,7_>65,N,D,,N,Retired,1Low,,West,2,G
N,M,1. HS,316012,7_>65,Y,B,Married,U,Retired,2Med,Owner,Midwest,3,H
N,F,0. <HS,0,1_Unk,N,G,,U,Sales/Service,1Low,Renter,West,8,D
Y,M,3. Bach,118351,6_<=65,Y,I,Married,N,Sales/Service,1Low,Renter,South,3,E
N,M,3. Bach,403997,3_<=35,Y,C,Married,Y,Professional,1Low,,South,1,F
