,評等,評語
2016,5.0,沒吃過，聽說不錯，先給五星，找時間去再調整⋯⋯
2017,4.0,台中必去！永遠現場滿滿的人潮燒肉好吃！但價格並不便宜啊
2018,5.0,服務態度超級好的啦肉的品質也很棒今年在這慶生有大大的滿足  
2019,5.0,服務品質好，食物佳，生意好
2020,4.0,食材品質佳，肉質好，服務好，價位可接受，環境舒適，座位寬敞，桌邊服務很好，
2021,5.0,用餐環境比中港店寬敞舒適，肉的品質好得沒話說，無限續的雞湯好喝，還有提供按摩讓客人很放鬆。
2022,4.0,店員服務親切
2023,5.0,可以吃超飽的燒肉店! 人員親切，也會幫忙烤海鮮類。感覺1880雙人套餐最划算。+60元升級的海鮮粥偏鹹一點，但是蛤仔給的不手軟，且很大一鍋。這次去因為讓我們多等了一段時間才入座，有送上兩盤雞肉作為補償。
2024,5.0,燒肉和粥很好吃😋
2025,5.0,服務態度很好，環境不錯👍
2026,5.0,服務很用心，肉品也很好吃
2027,5.0,N訪～好好吃啊～
2028,5.0,良好的服務態度
2029,5.0,(由 Google 提供翻譯) 非常享受的一次烤肉之旅，從餐前的雞湯到餐後的甜點都讓我十分滿意，服務人員也非常親切與專業，時刻關注客人的用餐情況與需求，十分推薦給還沒來享用過的朋友，價位在1600~3000/兩人，不太需要擔心吃不飽，餐前會有沙拉與泡菜開胃，份量也非常夠，這次選的肉品是和牛、松阪豬與香草雞肉，還有附兩隻草蝦與幹貝 …更多(由 Google 提供翻譯) 非常享受的一次烤肉之旅，從餐前的雞湯到餐後的甜點都讓我十分滿意，服務人員也非常親切與專業，時刻關注客人的用餐情況與需求，十分推薦給還沒來享用過的朋友，價位在1600~3000/兩人，不太需要擔心吃不飽，餐前會有沙拉與泡菜開胃，份量也非常夠，這次選的肉品是和牛、松阪豬與香草雞肉，還有附兩隻草蝦與幹貝(原始評論)非常享受的一次烤肉之旅，從餐前的雞湯到餐後的甜點都讓我十分滿意，服務人員也非常親切與專業，時刻關注客人的用餐情況與需求，十分推薦給還沒來享用過的朋友，價位在1600~3000/兩人，不太需要擔心吃不飽，餐前會有沙拉與泡菜開胃，份量也非常夠，這次選的肉品是和牛、松阪豬與香草雞肉，還有附兩隻草蝦與干貝
2030,5.0,要提前一個月預約，台中第一的燒肉
2031,5.0,目前吃過最好吃CP值最高的燒肉店，食材好吃又新鮮又多樣化，平常不太吃沙拉的我也能吃好幾盤他們家的沙拉，廁所也非常貼心擺滿了客人可能會用到的東西，漱口水護手霜牙線芳香劑等等各式各樣的用品，非常用心的一家燒肉，缺點是電話非常難打進去很難訂位。
2032,4.0,還行肉質不賴服務人員也太～服務周到了
2033,2.0,餐點普調味料普服務有待加強 ⋯⋯更多餐點普調味料普服務有待加強飲料喝到有漂浮物結果是服務人員幫忙剝蝦飛進去的發現後的道歉很不誠懇一副這種意外客人就該原諒的樣子套餐吃到快撐死居然說要贈送飲料表歉意？誰喝得下？居然還叫我外帶！？外地人超期待屋馬但吃了超失落認真不推
2034,4.0,吃的太飽了
2035,5.0,4人點3人套餐就夠吃了，雞湯好喝還可以續壺，海鮮粥料多鮮美，燒肉的肉質新鮮，沙拉份量也大，甜點可以選哈根達斯冰淇淋，飲料可選$50的種類超過的可以加價，整體服務也很親切，只是週末人太多追加的餐點和續壺的雞湯要稍微催一下，套餐的缺點是沒有搭配青菜
2036,5.0,服務態度細心親切 食材新鮮 會再光臨
2037,5.0,服務好，肉質新鮮，空間窄了一點😋
2038,5.0,當天生日還有招待冰淇淋跟特調店員也都很貼心食材新鮮好吃
2039,5.0,肉的品質不錯，海鮮粥料很多很好吃。服務也很好。
2040,5.0,很好吃，服務超好~
2041,5.0,肉質超棒，服務感心，真心推薦。
2042,5.0,東西好吃，服務很紮實
2043,5.0,實在好吃，雞湯、沙拉、肉品、甜點，五星好評！
2044,4.0,推~湯好喝 肉質也不錯
2045,5.0,很好吃，但需要先定位，服務很不錯。當月朋友生日還會幫忙慶生。
2046,5.0,服務好，身材新鮮好吃，雞湯好喝，沙拉也很美味😍，好吃
2047,5.0,有提供嬰兒幫寶椅，東西也很好吃
2048,5.0,超級好吃～真的吃不膩的那種～
2049,5.0,服務真的很棒但是都訂位了到現場還是要等一陣子
2050,5.0,肉真的超好吃!! 服務人員也很貼心
2051,5.0,肉鮮味美，服務好
2052,4.0,先說，屋馬的肉、雞湯非常的好吃，而且份量多，吃起來很有飽足感，副食完全沒有搶過主食的精彩。但是在訂位等待的處理上讓人沒辦法接受。因為位置十分難訂，忘記提早多久前訂位，但因為自己想吃，所以特地安排了一個台中行程來朝聖。 ⋯⋯更多先說，屋馬的肉、雞湯非常的好吃，而且份量多，吃起來很有飽足感，副食完全沒有搶過主食的精彩。但是在訂位等待的處理上讓人沒辦法接受。因為位置十分難訂，忘記提早多久前訂位，但因為自己想吃，所以特地安排了一個台中行程來朝聖。用餐前一天，收到一封用餐確認的簡訊，我也進去連結按了用餐的確認，用餐當日的前一個鐘頭，屋馬也再次打電話確認用餐人數，屢次的確認下，換得消費者還在現場等了將近半個鐘頭。因為男友是很守時的人，對於這點不太能接受，小小的等待個五分鐘十分鐘是人之常情，但在有訂位及店方反覆確認的狀況下，再等三十分鐘，就有點讓人感到困惑。雖然後來用餐時有加贈兩杯葡萄氣泡飲，但冗長的等待已影響用餐心情，且服務的流暢度似乎不太好，入座一段時間後，還是去詢問服務員才得到雞湯，雖然雞湯真的非常好喝。屋馬的肉是無庸置疑的好，但希望往後在訂位跟服務上的處理可以更上層樓，尤其用餐前一個小時還電話確認過(因為沒接到電話，我還回撥屋馬)，也算是很尊重店方的詢問，也希望店方可以尊重消費者，如果真的在外面等這麼久的狀況，當下即時奉上一杯水或飲料，應該可以緩解等候的不耐。
2053,5.0,CP 值超高。。就算有訂位，也要稍微等一下。。但值得啦！
2054,4.0,雙人豬肉套餐份量非常足夠升級海鮮粥很好吃只是人很多 實際用餐時間不到兩小時就要離開了
2055,4.0,"東西還ok,價位有點高。"
2056,4.0,服務人員很忙沒空幫我帶位，其他服務很好。
2057,5.0,凱薩沙拉很好吃。雞湯清淡好喝。每一盤肉都很鮮美、品質佳。服務品質佳、服務人員積極、優質。格局設計不錯。整個氛圍佳。
2058,4.0,(由 Google 提供翻譯) 好吃(原始評論)好吃
2059,5.0,這不用多說~就什麼都讚
2060,5.0,沙拉，肉類及海鮮粥都非常好吃，甜點也不錯。只有南瓜泥太甜了一些，服務態度蠻好的
2061,5.0,服務非常到位😊服務生主動來詢問是否要幫我們撥蝦子還教我們如何使用兩隻夾子撥蝦🦐
2062,5.0,運氣很好，平日下午來剛好沒排很久，覺得最驚豔的是這碗海鮮粥，滿滿的海鮮真的很好吃。
2063,5.0,真的好吃😋，我吃全豬套餐，每個品項都令人驚艷，建議升級海鮮粥，一定吃的超飽超精緻心滿意足離開，下次還會再來的！
2064,4.0,(由 Google 提供翻譯) 好吃(原始評論)好吃
2065,4.0,希望不吃牛的選擇可再多點
2066,4.0,服務周到 用餐環境好，肉質可
2067,4.0,好吃 肉質也不錯
2068,5.0,愛喝湯
2069,4.0,(由 Google 提供翻譯) 食品質量贊！(原始評論)食材品質讚！
2070,5.0,真得很喜歡吃燒烤，如果分量可以在多一些就好囉!上次點了兩人套餐，我們兩個食量都很大
2071,5.0,服務到位 餐點好吃 雖不算便宜
2072,5.0,免費的雞湯非常好喝，肉質也很不錯
2073,5.0,CP值高的烤肉店，壽星8折
2074,5.0,好吃，太貴，好難選擇啊
2075,5.0,好吃!!!好飽!!!
2076,5.0,好吃份量多服務好！
2077,4.0,滿滿的肉肉肉，雞湯還不錯，服務態度也很好，服務生很可愛又專業。不過出餐的SOP可能不是很完善。
2078,4.0,服務不錯，海鮮粥味道不錯，烤肉大致上還可以，要看肉的種類。綜合來說，可以試試。
2079,5.0,好吃😋
2080,5.0,價錢偏高，服務好飽足感夠
2081,3.0,訂不到候位也候不到…建議去國安店
2082,5.0,服務人員服務不錯態度良好，全牛套餐肉好吃，海鮮新鮮，缺點就是要提早訂位
2083,5.0,肉量充足，品質佳
2084,5.0,還是園邸店的好吃 ～
2085,5.0,肉質好，服務優質，美味的饗宴唯一缺點是難訂位，建議至少一個月前訂。
2086,5.0,讚讚
2087,5.0,今天肉普通，中上。但服務超級好，尤其是41號，謝謝給我們一次不錯的用餐體驗
2088,4.0,肉質不錯價格有點可惜
2089,5.0,真的很好吃但還是小貴
2090,4.0,爽爽吃烤肉，服務人員很貼心活潑～唯有不足是牛肉不夠新鮮變成灰褐色
2091,5.0,好吃，還會想再去吃～
2092,5.0,好吃~~好飽~~
2093,3.0,東西不錯吃座位有點小燈光太暗櫃檯服務人員態度不佳需要再改善
2094,4.0,前一個禮拜訂下週六，只訂的到晚上11:30😂但還是來吃了，很飽，服務很好，雖然價位蠻高，但量與服務都有做到。
2095,5.0,很好吃！肉質很好！雞湯也好喝！小朋友很喜歡！
2096,5.0,(由 Google 提供翻譯) 食物很好，這裡的服務非常好，唯一的事情就是你必須等待一段時間，即使你已經預訂了但總的來說它是好的(原始評論) …更多(由 Google 提供翻譯) 食物很好，這裡的服務非常好，唯一的事情就是你必須等待一段時間，即使你已經預訂了但總的來說它是好的(原始評論)The food is good and the service here is excellent the only thing is that u would have to wait awhile even when u had made a reservation but overall it is good
2097,5.0,氣氛優美
2098,5.0,精緻好吃
2099,5.0,雖然預約很難訂，等待時間久，但是服務跟食物真的很不錯！
2100,5.0,不要錯過，預早訂位，超贊
2101,3.0,很貴
2102,4.0,東西不錯吃，訂位非常難訂
2103,5.0,肉品品質好，美味又鮮嫩；服務態度非常棒，觀察客人用餐進度，適時提供服務，讓人感覺很舒服，比起台北一些店家收取10%服務費，卻什麼服務都沒有，要好太多
2104,4.0,用餐環境優良，工作人員服務佳。食物普通
2105,5.0,肉品好吃，服務人員很棒！
2106,5.0,"氣氛不錯,服務態度良好....值得推薦"
2107,5.0,不用訂位就有位子，空間大舒適，不用說食物ㄧ定好吃，服務態度很好
2108,2.0,人多，即使預約也要花半個小時才看得到東西
2109,4.0,(由 Google 提供翻譯) 好吃(原始評論)好吃
2110,5.0,今天和家人預約了午餐時段的聚餐，用餐期間享受到非常好的服務品質，食物的美味不用贅述，但是服務人員的細心貼心及耐心足以讓人願意再次光顧，食物份量和口味都表現的很好，不管是情侶聚餐還是家人朋友聚餐都很適合，廁所很貼心準備了衣物芳心噴霧和臉部保濕噴霧等等的用品供消費者使用，但是值得讚賞的是整間餐廳沒有難聞的油煙味，用餐完的身上更是沒沾上多少燒烤氣味，非常值得讚賞！
2111,1.0,打電話預約連續被掛7次電話！！！都是接通就掛掉電話
2112,5.0,屋馬燒肉那麼多間分店都吃過一次還是最愛園邸店，服務人員會常常來快速換烤網，且雞湯品質最穩定建議如果要有好的用餐服務品質可以在離峰時段去最好👍
2113,3.0,服務還蠻周到的，換烤網頻率高，雞湯補給有點還蠻迅速的，吃起來還蠻普通的但份量不少。
2114,5.0,服務好！味道讚！讓我覺得10%服務費值得
2115,5.0,(由 Google 提供翻譯) 好好吃😜😜 …更多(由 Google 提供翻譯) 好好吃😜😜(原始評論)好好吃😜😜
2116,5.0,平價，美味，用餐環境舒適。
2117,1.0,今天去現場侯位等了1個半小時當時服務生告知我有電話預約的客人取消 ⋯⋯更多今天去現場侯位等了1個半小時當時服務生告知我有電話預約的客人取消要我們準備入席結果過了3分鐘服務生又跑來，說客人臨時決定要來所以又要我們等2小時？？？？所以當現場侯位的都塑膠還是白痴？？一通電話可以改來改去是嗎？？？而且當下的時間，那位客人明顯遲到快半小時，位置保留時間一般不都是10分鐘嗎？感覺差爆了！！
2118,5.0,肉質不錯，空間漂亮，服務態度很用心，雖然假日用餐人很多有時候訂位時間還是要等一下，但是服務人員的態度很好
2119,4.0,服務人員服務很周到，餐點肉品新鮮，單價不會太高，便宜的梅花豬也有一定的水準，牛舌很優秀，海鮮新鮮，整體用餐滿意，唯一小缺點，定位時間到入座還要再等一段時間，點完餐到上菜也需要再稍微等一段時間，但不影響整體。非常好的餐廳值得推薦。
2120,5.0,只有讚而已，價位雖高，但菜色與服務皆符合！
2121,5.0,東西好吃，服務態度親切
2122,5.0,服務好、肉質新鮮！值得再來
2123,4.0,試過各種套餐還是和牛套餐最好吃加價換海鮮粥還不錯吃雞湯味道應該是粉泡的普普 ⋯⋯更多試過各種套餐還是和牛套餐最好吃加價換海鮮粥還不錯吃雞湯味道應該是粉泡的普普生日慶生的好場所服務態度佳，需提早定位！
2124,5.0,服務好
2125,5.0,服務很好 客人很多需要先預約
2126,3.0,沒有網路上流傳的那麼好吃，但服務很好。
2127,5.0,精緻。
2128,1.0,冷氣根本不涼吃到滿身汗 ，服務人員沒事故意把火調大 ，肉都烤焦了 ，這樣趕客人實在糟糕 。打槍 ………
2129,5.0,服務員素質佳，親切熱心
2130,5.0,來N遍了，服務很好～特愛雞湯和海鮮粥
2131,5.0,服務超好超貼心👍服務費付的很值得
2132,5.0,好吃!肉新鮮粥美味
2133,5.0,(由 Google 提供翻譯) 好(原始評論)Good
2134,5.0,一樣好 但還是覺得小貴Q
2135,5.0,吃得出肉用的蠻好的，份量也蠻多的，免費提供的雞湯很好喝，加價換的海鮮粥表現也很出色，服務態度很好，很多小細節都很用心，台中最強燒肉！
2136,5.0,入口即化的和牛 價格合理 超過cp值
2137,5.0,台中燒烤店必吃而且一定是要園邸店才好吃😋肉質佳 價格合理 份量十足 服務周到就是不好訂位 可以現場等或許比較有機會排到
2138,4.0,吃的很飽很爽，服務態度也很好!
2139,5.0,服務的女生熱情有活力~服務好到沒話說~東西也一樣很好吃~
2140,4.0,"有事先預約,生意依舊很好,服務態度是所有分店裡頭最好的，不過現在預約後,都要比預約時間晚一陣子才能進去,用餐過程略顯倉促,沒有辦法好好享受美味的餐點，有點可惜"
2141,5.0,肉非常新鮮，服務非常好雞湯超好喝。
2142,5.0,超級好吃
2143,5.0,只吃過豬肉套餐，肉質好、種類多、服務人員很親切，附的雞湯好喝～當月壽星還會有特殊設計過的小甜點喔！除了難預約＆真的好貴以外，實在沒甚麼好挑剔的，大愛！
2144,5.0,肉非常新鮮，服務員的服務好到我會怕本來覺得雞湯沒什麼，一喝直接上癮
2145,4.0,服務很好，但就是價格貴了點，東西都蠻好吃的
2146,4.0,肉品不錯但人太多，不好聊天
2147,4.0,東西非常好吃且服務周到
2148,5.0,很好吃，但太貴了。
2149,5.0,"每次吃完都很飽足的回家！餐點棒👍🏼服務也棒👍🏼生日慶祝、朋友聚會或家庭聚餐首選❤️ ⋯⋯更多每次吃完都很飽足的回家！餐點棒👍🏼服務也棒👍🏼生日慶祝、朋友聚會或家庭聚餐首選❤️-雖然吃燒肉就是要一口肉一口飯大大滿足🙌🏼但是他們的海鮮粥好好吃,料多實在,有一種海味😂一吃愛上,每吃必點粥💕（雞湯也好好喝-有壽星來用餐的話，店家會贈送免費的甜點，然後放在一個(上面用粉畫出超夯的卡通圖案)板子上，可愛又好拍😍店員還會很熱情的幫唱生日快樂歌(怕尷尬的可以事先說不用唱XD)，很歡樂！"
2150,4.0,肉質美味
2151,5.0,肉質很好、服務也很棒，非常好吃的一餐
2152,5.0,吃了日本和牛，肉質超好，超級好吃 ，服務員超可愛
2153,2.0,朋友大推但蠻失望的肉品質普通對於肉有要求的人不建議 店內吵雜停車困難
2154,5.0,來吃就對了！四家吃過一輪服務都沒話說肉質也是，份量夠不小氣！之前用的停車券換菲利雞，也是很大一份！！ ⋯⋯更多來吃就對了！四家吃過一輪服務都沒話說肉質也是，份量夠不小氣！之前用的停車券換菲利雞，也是很大一份！！沒在跟你客氣的～唯一差別是這家櫃檯多是男性...響亮的招呼聲，親切的笑容....我以為走進🦆店...雖然空歡喜一場哈哈哈77號妹妹親切熱心....74號帥哥...I want to be ur friend. 🙈🙈
2155,1.0,明明跟店家說好是7人用餐，帶位只能排到6人位子外加一張椅子，這就算了，餐具一直不再多拿一組來，真的是讓我等到有點火大，服務品質怎麼會如此差
2156,5.0,價格合理
2157,4.0,服務員專業與客氣 令人難忘
2158,4.0,肉很軟，有入味，很好吃，但人很多，所以點心還在吃時，就被提醒可以結帳了
2159,5.0,(由 Google 提供翻譯) 服務人員態度親切，電話預訂後會傳簡訊，有菜單資訊可以參考，很貼心。食材新鮮有水準，幹貝、軟絲也鮮甜好吃。 …更多(由 Google 提供翻譯) 服務人員態度親切，電話預訂後會傳簡訊，有菜單資訊可以參考，很貼心。食材新鮮有水準，幹貝、軟絲也鮮甜好吃。定位告知是慶生活動，貼心送上手繪慶生盤，店家招待的蔓越莓飲料非常好喝，好希望套餐可以選擇搭配這個。很棒的店，不枉費我們為了吃屋馬燒肉特地從台北過去！(原始評論)服務人員態度親切，電話預訂後會傳簡訊，有菜單資訊可以參考，很貼心。食材新鮮有水準，干貝、軟絲也鮮甜好吃。定位告知是慶生活動，貼心送上手繪慶生盤，店家招待的蔓越莓飲料非常好喝，好希望套餐可以選擇搭配這個。很棒的店，不枉費我們為了吃屋馬燒肉特地從台北過去！
2160,5.0,"位置很難訂,因為不論服務或是食物都是我覺得屋馬中的第一名,每次去感覺都很棒,只是辛苦服務人員了～電話訂位打到手抽筋還沒位子最失望了..."
2161,5.0,好吃哦～服務貼心 建議訂位哦😁😁😁
2162,5.0,服務態度很好
2163,4.0,"食材品質佳用餐環境量,但價格偏高...,且地點有點難找"
2164,5.0,服務周到食才多樣CP值高
2165,5.0,燒肉好吃！雞湯好喝！服務好！建議要提早很久預約！
2166,5.0,不用多說，5顆星，謝謝
2167,5.0,料理好吃 多年來的死忠客戶~*
2168,5.0,百吃不厭，道道美味。雙人套餐，二大二小，吃得剛剛好。
2169,5.0,非常理想的一餐，氣氛好、肉品美味、海鮮粥令人回味，值得推薦（請記得事先預約喔）
2170,5.0,吃了那麼間燒肉！！！屋馬在我心中永遠第一👍👍👍
2171,5.0,服務好到沒話說，我們四個人點了三人套餐就已經吃很飽了，來台中必吃！
2172,4.0,"(由 Google 提供翻譯) 美味，完美的服務，寬闊的地方，舒適和乾淨。(原始評論) …更多(由 Google 提供翻譯) 美味，完美的服務，寬闊的地方，舒適和乾淨。(原始評論)Yummy, perfect service, wide place, comfortable and clean."
2173,5.0,有事先訂位，當天也準時入座！服務人員很親切，當天東西忘在店裡，店員有幫忙收起來，很感謝！😊
2174,5.0,超棒。肉質很好，CP質很高
2175,5.0,(由 Google 提供翻譯) 好吃(原始評論)好吃
2176,5.0,不只食物好吃 服務好 服務人員親切 男的帥女的美 有機會再聚餐肯定是把這餐廳放在首位
2177,5.0,107/10/09下午1點跟朋友去吃除了美味沒話說，人多服務品質還是很不錯🈵餐點介紹也很清楚明瞭。 ⋯⋯更多107/10/09下午1點跟朋友去吃除了美味沒話說，人多服務品質還是很不錯🈵餐點介紹也很清楚明瞭。69號男服務生人好好👍🏻謝謝你為了我們這群奧客變出了可愛的甜點，用餐很愉快唷！還有10號服務生美女♥️辛苦你們了！謝謝您們～
2178,2.0,預約7:00的位子，卻等到7:30還沒辦法有位，那就不應該讓人預約又等那麼久
2179,3.0,(由 Google 提供翻譯) Cp值普通(原始評論)Cp值普通
2180,5.0,服務很好，海鮮粥好吃。有想慶生的人很推薦來這裡，畫板很用心，壽星很驚喜 😁
2181,1.0,高清屋馬
2182,1.0,好貴
2183,5.0,(由 Google 提供翻譯) 好吃好吃～(原始評論)好吃好吃～
2184,4.0,口味還行 服務ok
2185,4.0,整體用餐氣氛CP值不錯
2186,5.0,讚 值得再去
2187,4.0,服務好，也好吃，但是訂位準時到竟然還要等15分鐘，這作業要改進
2188,5.0,環境寬敞舒適，氣氛也很棒！烤肉的時候烤爐只有半邊會熱，向服務人員反應之後處理得當！對此非常滿意😊肉質新鮮甜美，值得推薦👍
2189,5.0,口味真的棒棒，和牛入口即化，粥很鮮甜
2190,4.0,好吃，但超級難訂位。想吃要多扶老太太老爺爺過馬路。
2191,5.0,大門進去後左邊
2192,5.0,服務很棒有慶生活動，也很熱心，肉盤很不錯，梅酒順口，服務生撥蝦超強😆😆😆，店員男帥女美的超賞心悅目！
2193,4.0,服務真的好
2194,5.0,星期六雖然繁忙，但服務人員都還是很熱情（還蠻多帥哥美女的），東西也都不錯吃，白米飯我愛~
2195,5.0,超好吃😋 服務親切
2196,5.0,態度好！東西好吃！去幾次都不嫌多（但$包會變少）
2197,3.0,(由 Google 提供翻譯) 普通的肉(原始評論)肉普通
2198,2.0,以前吃覺得超好吃，今年4月吃一次覺得普通，這個月再吃真的非常普通，感覺品質下降了
2199,4.0,雙人套餐份量夠3個人吃，餐點好吃，但是肉有些油膩，服務不錯，只是人很多要現場排要早點到。
2200,5.0,(由 Google 提供翻譯) 好吃(原始評論)好吃
2201,4.0,屋馬真的是燒肉之中吃過最好吃的。
2202,5.0,料實在，但不好訂位
2203,5.0,工作人員很親切，餐點也很好吃，特地從台北來吃果然值得
2204,4.0,肉質好服務親切上菜速度快
2205,5.0,好吃 難怪訂位都訂不太到 cp值滿高的
2206,5.0,服務很好四人叫兩個雙人餐會撐死
2207,5.0,服務親切，各類肉質也很好，非常值得一再來訪
2208,5.0,屋馬94潮
2209,4.0,慕名而來，覺得還不錯。
2210,2.0,無骨牛小排上桌份量只有半盤，詢問服務人員數量就是如此，吃了好多次屋馬，漲價後還給這樣的品質數量，覺得不OK ！
2211,3.0,人太多，用餐環境稍嫌吵雜了，應該是年輕人的喜好店了，對餐食的期待沒有想像高
2212,4.0,食材;氣氛~~~都好，惟一美中不足就是結帳及等待區~~像市場
2213,1.0,(由 Google 提供翻譯) 食物很棒，但太忙於商業，所以他們糟糕的服務似乎有意義嗎？甚至沒有人試圖解釋菜單並假設每個客戶都想知道他們是如何工作的？特別是收銀員表現得非常傲慢！不知道為什麼客戶需要付出很多錢並接受它？ ？傷心。 …更多(由 Google 提供翻譯) 食物很棒，但太忙於商業，所以他們糟糕的服務似乎有意義嗎？甚至沒有人試圖解釋菜單並假設每個客戶都想知道他們是如何工作的？特別是收銀員表現得非常傲慢！不知道為什麼客戶需要付出很多錢並接受它？ ？傷心。(原始評論)Food was great but too busy for business so their poor service seem make sense? No one even try to explain the menu and assume every customers suppose to know how they work on it? Especially the cashier was acting very arrogant !! Don’t know why a costumer need to pay a lot and take it? ? Sad.
2214,5.0,隔一年沒來了發現該店員工沒太大流動有幾個有還有印象，服務品質真的非常好假日居然能不到十分鐘就來幫我們換一次烤網肉質的品質也很好，難怪越開越多間了
2215,5.0,好吃，服務好，值得推薦
2216,5.0,服務態度極佳 餐點好吃 店員還會幫忙慶生 小小缺點就是現場待位稍久 要記得訂位！
2217,5.0,評價真的跟大眾說的一樣不論服務  食物  整體評價都很棒！ ⋯⋯更多評價真的跟大眾說的一樣不論服務  食物  整體評價都很棒！只可惜比較晚開吃所以吃的有點趕，兩人的套餐真的很撐，下次去可能運動完吃的量比較多
2218,5.0,服務好
2219,4.0,好吃但價格略高
2220,5.0,服務人員不僅態度親切，服務也相當到位，會是想去二訪的餐廳
2221,3.0,(由 Google 提供翻譯) 普普通通(原始評論)普普通通
2222,5.0,屋馬是目前吃過最喜歡的燒烤店，只是上次去用餐，發現無骨牛小排有些許落差，希望能跟以前一樣。
2223,5.0,大愛牛肉！超美味超嫩～～～必回訪！
2224,5.0,第一名的燒肉!
2225,4.0,食材很優 缺點座位太擠
2226,5.0,服務人員態度很好，很友善，他們也很貼心。食材也很新鮮及美味，甜品也很好吃。單看價錢可能覺得貴，但當配合了他們貼心及友善的服務，就會令你覺得很值得。
2227,5.0,還不錯吃!!
2228,5.0,只能說超讚雞湯/沙拉/海鮮粥/肉品都超讚聽說訂位已經訂到12月了
2229,5.0,好吃❤😋
2230,5.0,位置不錯，裝潢氣派，可惜人多的時候幾乎沒路可走；肉很鮮美菜也不錯，6人吃5人餐也剛剛好不會太飽。
2231,4.0,蠻好吃的
2232,5.0,比傳說中的更加美味下次會再來吃
2233,5.0,(由 Google 提供翻譯) 好食程度❤️❤️❤️-三人套餐 NT2880 …更多(由 Google 提供翻譯) 好食程度❤️❤️❤️-三人套餐 NT2880屋馬主廚沙拉🥗韓式泡菜松子南瓜泥🎃美國安格斯極盛貝身牛小排🐂美國玫瑰牛小排🐂美國韓風牛小排🐂極盛松阪豚（厚切/薄切）🐷義大利香草雞（厚切/薄切）🐔極盛大和海鮮豚肉粥🦐北海道幹貝嚴選黑潮軟絲屋馬精選甜品（哈根達斯）🍦屋馬精選飲品（可爾必思沙瓦）🍹-鹿兒島和牛胸腹小排 NT630慶祝週年的小熊維尼彩繪板-肉質真的很好 但覺得和牛的肉稍油膩海鮮粥真的好吃到吃了四五碗 但可以再鹹一點(原始評論)好食程度❤️❤️❤️-三人套餐 NT2880屋馬主廚沙拉🥗韓式泡菜松子南瓜泥🎃美國安格斯極盛貝身牛小排🐂美國玫瑰牛小排🐂美國韓風牛小排🐂極盛松阪豚（厚切/薄切）🐷義大利香草雞（厚切/薄切）🐔極盛大和海鮮豚肉粥🦐北海道干貝嚴選黑潮軟絲屋馬精選甜品（哈根達斯）🍦屋馬精選飲品（可爾必思沙瓦）🍹-鹿兒島和牛胸腹小排 NT630慶祝週年的小熊維尼彩繪板-肉質真的很好 但覺得和牛的肉稍油膩海鮮粥真的好吃到吃了四五碗 但可以再鹹一點
2234,5.0,食材好  服務好  氣氛佳  會再訪
2235,5.0,每當生日我要去屋馬前一個月訂都快沒位了 真的很夯
2236,3.0,服務親切，但覺得貴了
2237,5.0,服務好東西好吃雞湯很好喝喔
2238,5.0,屋馬好ㄘ
2239,5.0,去過其他類似的店，還是喜歡來屋馬吃
2240,5.0,服務親切，肉品優質，環境舒適。
2241,5.0,服務炒雞好Dear(•ૢ⚈͒⌄⚈͒•ૢ)食物好吃，雞肉很嫩❤️
2242,5.0,品質保證 好吃不用多說
2243,5.0,好吃，服務好，但環境較吵雜。附近因緊鄰勤美商圈週末會不好停車喔。候位區也比較混亂（如果同時段多組人）位置也不夠坐。
2244,5.0,安格斯牛超推!服務態度非常好 很棒!
2245,5.0,雞湯超好喝，服務態度好，台中最好吃的燒烤
2246,5.0,好吃服務又好沒話說
2247,5.0,(由 Google 提供翻譯) 超好吃(原始評論)超好吃
2248,5.0,超好吃打電話訂位要有點耐心，每次都打好幾次才會通
2249,4.0,東西好吃，服務人員親切，少給一顆星是電話太難打了😅
2250,4.0,服務可以更優質一些
2251,5.0,濃醇大骨熬煮的粥品很值得加價，胡麻沙拉也很好吃和牛與安格斯牛的肉質真的不錯，沾檸檬醬混辣椒精力蔥很是享受！🤤重點是服務人員的細心程度好到很誇張！👍無煙碳烤也在吃飽喝足之後身上毫無煙燻味！
2252,5.0,一定要定位，雞湯好喝，肉好吃！店員親切，食量大的人可能吃不夠
2253,4.0,肉質好，海鮮鮮，無油煙
2254,4.0,肉質都很新鮮，也很豐盛，服務也很好，一直換網子，但美中不足是用餐時間不到2小時，蠻趕的，吃的很急，無法好好享受美食~
2255,5.0,肉品質佳、服務好四人點三人套餐，吃很飽
2256,4.0,美味、服務好、缺點是沒有特約停車場、要自費!
2257,5.0,(由 Google 提供翻譯) 好吃~~(原始評論)好吃~~
2258,5.0,澳洲和牛套餐（真的適合2人）無論是牛、豬、雞肉，質皆非常軟嫩；服務也非常貼心、非常關心客人的小舉動，因服務讓CP值大大提升！
2259,5.0,服務態度非常好♥員工貼心也一直保持笑容👍食材新鮮、肉質不用說了😄排名第一燒肉~~~
2260,5.0,氣氛佳，美食~~~~~
2261,5.0,強烈建議一定一定要先訂位，不管平日假日always人滿為患，態度也是非常好，價格完全對得起品質，雖然不是吃到飽但吃完也是非常撐了，久沒吃會想念，會想從板橋坐高鐵下去吃，大推👍👍👍
2262,5.0,肉質都很不錯，服務也周到，但人真的太多了。想要吃要早點定位。
