宝贝标题,图片Url,详情页Url,价格,销量,位置,货号,品牌,厚薄,面料,年份季节,中老年风格,中老年女装图案,适用年龄,服装版型,组合形式,穿着方式,衣长,领型,袖型,衣门襟,成分含量,服装款式细节
中老年中年女装春装衬衫女妈妈雪纺衫长袖夏季婆婆小衫2017新款潮,https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/TB1w4fxRXXXXXbzXXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=544405572836&ns=1&abbucket=0,66.00,717人付款,江苏 苏州,FYL-11003 ,法雅璐 ,适中 ,LYCRA莱卡 ,2017年春季 ,时尚 ,动物图案 ,40-49周岁 ,修身 ,单件 ,套头 ,常规 ,半开领 ,常规 ,,30%及以下 ,钉珠 
中老年女装夏装真丝中袖衬衫妈妈装长袖大码衬衣老年人显瘦女上衣,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/TB15FjBOVXXXXb2XpXXXXXXXXXX_!!0-item_pic.jpg,https://item.taobao.com/item.htm?id=534609804739&ns=1&abbucket=0#detail,118.00,568人付款,浙江 嘉兴,贵妇人A款,,薄,"雪纺,聚酯,绸缎,蚕丝,其他","2016年夏季,2016年秋季",时尚,花色,40-49周岁,宽松,单件,开衫,常规,其他,其他,单排扣,91%(含)-95%(含),纽扣
中老年女装夏装长袖T恤衬衫50-60岁中年人妈妈春秋装中袖上衣妇女,https://g-search1.alicdn.com/img/bao/uploaded/i4/i6/TB1qCC0RXXXXXaTXpXXYXGcGpXX_M2.SS2,https://detail.tmall.com/item.htm?id=527822207432&ns=1&abbucket=0,78.00,434人付款,江苏 苏州,FRSN 1607 ,芙蓉少女 ,适中 ,其他 ,2016年夏季 ,知性 ,其他 ,50-59周岁 ,宽松 ,单件 ,套头 ,常规 ,POLO领 ,常规 ,,96%及以上 ,口袋 
老人衬衣女七分袖妈妈夏季上衣60-70岁奶奶夏装薄衬衫中老年女装,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/TB11saWQXXXXXaMaXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=547019672536&ns=1&abbucket=0,99.00,604人付款,北京,Bmchar17B3162 ,Bmchar/百魅佳人 ,超薄 ,棉 ,2017年夏季 ,知性 ,条纹 ,60周岁以上 ,宽松 ,单件 ,开衫 ,常规 ,POLO领 ,常规 ,单排扣 ,71%(含)-80%(含) ,纽扣 
妈妈装短袖t恤女夏装中老年中长款雪纺衬衫40-50岁中年女装上衣,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/TB1MwE4QVXXXXXKaXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=550333222362&ns=1&abbucket=0,108.00,200人付款,浙江 嘉兴,MQLHYFS1776 ,MAQILUN 玛奇伦 ,适中 ,其他 ,2017年夏季 ,时尚 ,花色 ,40-49周岁 ,宽松 ,单件 ,开衫 ,常规 ,POLO领 ,常规 ,,96%及以上 ,
母亲节中老年女夏装T恤大码老年人服装上衣七分袖妈妈绣花打底衫,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/TB1Ycq5QpXXXXbtaXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=548007039515&ns=1&abbucket=0,158.00,474人付款,浙江 嘉兴,YXMG17B17182 ,印象玫瑰 ,薄 ,其他 ,2017年夏季 ,休闲 ,复古图案 ,60周岁以上 ,宽松 ,单件 ,开衫 ,常规 ,V领 ,常规 ,单排扣 ,96%及以上 ,绣花 
母亲节妈妈装夏装雪纺衫上衣中老年衬衫春装长袖t恤中年加肥衣服,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/TB1IOWYQpXXXXacaXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=528388710497&ns=1&abbucket=0,99.00,1327人付款,湖北 武汉,R991080 ,润姿语 ,薄 ,聚酯 ,2017年夏季 ,时尚 ,花色 ,40-49周岁 ,宽松 ,单件 ,套头 ,常规 ,圆领 ,灯笼袖 ,单排扣 ,96%及以上 ,
妈妈装春装七分袖真丝上衣中老年人女装夏装衬衣服老人奶奶装衬衫,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/2456241514/TB2C8Udg8NkpuFjy0FaXXbRCVXa_!!2456241514.jpg,https://item.taobao.com/item.htm?id=537013601741&ns=1&abbucket=0#detail,118.00,336人付款,浙江 嘉兴,zjdl007,织冷暖,适中,"绸缎,其他",2017年春季,福态,花色,50-59周岁,宽松,单件,开衫,常规,方领,常规,单排扣,91%(含)-95%(含),纽扣
老人衣服女夏装衬衫60-70-80岁雪纺中袖上衣奶奶装中老年女装春装,https://g-search1.alicdn.com/img/bao/uploaded/i4/i7/TB1p7n1QpXXXXbxXXXXYXGcGpXX_M2.SS2,https://detail.tmall.com/item.htm?id=545937765342&ns=1&abbucket=0,128.00,386人付款,江苏 苏州,X0084 ,孝慈轩 ,薄 ,聚酯 ,2017年夏季 ,福态 ,花色 ,60周岁以上 ,宽松 ,单件 ,开衫 ,常规 ,V领 ,,单排扣 ,96%及以上 ,纽扣 
母亲节衣服夏季中年妈妈夏装棉麻两件套装短袖衬衫中老年女装上衣,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/TB1cPdhLpXXXXadXVXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=533716180366&ns=1&abbucket=0,169.00,373人付款,湖北 武汉,Q2231 ,Chophilly＆Co/乔芙丽 ,薄 ,亚麻 ,2016年夏季 ,休闲 ,风景 ,40-49周岁 ,宽松 ,两件套 ,开衫 ,常规 ,POLO领 ,常规 ,单排扣 ,30%及以下 ,纽扣 
母亲节妈妈春装宽松雪纺衫上衣中年妇女衣服女夏装2017新款潮衬衫,https://g-search1.alicdn.com/img/bao/uploaded/i4/i1/TB19_EpQVXXXXaNXXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=547427412419&ns=1&abbucket=0,69.00,379人付款,浙江 嘉兴,CSCSJ-1837 ,MITCH SHEEPS/米其羊 ,适中 ,聚酯 ,2017年夏季 ,通勤 ,纯色 ,40-49周岁 ,宽松 ,单件 ,套头 ,短款 ,V领 ,常规 ,,96%及以上 ,褶皱 
妈妈装七分袖衬衫中长款中老年女装夏装雪纺衫 时尚大码短袖T恤女,https://g-search1.alicdn.com/img/bao/uploaded/i4/i4/TB10uFQQpXXXXXWXpXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=531468237445&ns=1&abbucket=0,69.00,544人付款,北京,YJN16154 ,亿嘉奴 ,薄 ,聚酯 ,2016年夏季 ,时尚 ,花色 ,,修身 ,单件 ,套头 ,中长款 ,,常规 ,,96%及以上 ,褶皱 
中老年人夏季套装女奶奶上衣60-70岁妈妈装薄衬衫80岁短袖两件套,https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/TB1E7MkQVXXXXaxXXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549317252036&ns=1&abbucket=0,108.00,334人付款,江苏 苏州,LN8971 ,奈夫人 ,薄 ,聚酯 ,2017年夏季 ,休闲 ,纯色 ,60周岁以上 ,宽松 ,两件套 ,开衫 ,短款 ,圆领 ,衬衫袖 ,单排扣 ,96%及以上 ,绣花 
特价加肥加大中老年女装衬衫胖妈妈装夏装上衣开衫七分袖衬衣大码,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/19296020626989546/T1WnXNXr8cXXXXXXXX_!!0-item_pic.jpg,https://item.taobao.com/item.htm?id=17623437204&ns=1&abbucket=0#detail,68.00,614人付款,北京,,,薄,"涤纶,棉","2017年春季,2017年夏季",时尚,花色,,宽松,单件,开衫,常规,POLO领,常规,单排扣,71%(含)-80%(含),纽扣
中老年女装春装T恤长袖大码妈妈装夏装中袖宽松衬衫中年女打底衫,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/1911639982/TB2vUq7fb0kpuFjy0FjXXcBbVXa_!!1911639982.jpg,https://item.taobao.com/item.htm?id=545612186608&ns=1&abbucket=0#detail,29.00,487人付款,上海,HN-888,,适中,"聚酯,棉,其他","2017年春季,2017年夏季",时尚,花色,40-49周岁,宽松,单件,套头,中长款,圆领,其他,,81%(含)-90%(含),纽扣
中老年女装短袖雪纺衫妈妈装百褶短袖衬衫中年人夏装荷叶边上衣女,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/1594744985/TB2hX7bf9JjpuFjy0FdXXXmoFXa_!!1594744985.jpg,https://item.taobao.com/item.htm?id=545945749084&ns=1&abbucket=0#detail,39.90,101人付款,江苏 苏州,,,薄,雪纺,2017年夏季,时尚,纯色,40-49周岁,修身,单件,开衫,常规,其他,常规,,,
中老年人夏装女装短袖真丝衬衫妈妈装上衣老人奶奶装香云纱衣服60,https://g-search1.alicdn.com/img/bao/uploaded/i4/i4/TB1_AFSRXXXXXX7aVXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=544597499735&ns=1&abbucket=0,298.00,537人付款,浙江 杭州,HJY1701-435 ,和家缘 ,薄 ,蚕丝 ,2017年夏季 ,休闲 ,花色 ,60周岁以上 ,宽松 ,单件 ,开衫 ,中长款 ,V领 ,常规 ,单排扣 ,96%及以上 ,纽扣 
中老年衬衣女长袖妈妈装夏装老年人衬衫女奶奶装夏装老太太衬衫,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/TB14oe6QVXXXXXHXFXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549296330009&ns=1&abbucket=0,168.00,392人付款,河南 郑州,17126 ,若男佳人 ,,LYCRA莱卡 ,2017年夏季 ,休闲 ,纯色 ,60周岁以上 ,宽松 ,单件 ,开衫 ,常规 ,POLO领 ,,单排扣 ,30%及以下 ,
春夏季妈妈装衬衫宽松中老年长袖绣花薄短袖衬衣方领上衣女纯全棉,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/179742675/TB27iL0iJ4opuFjSZFLXXX8mXXa_!!179742675.jpg,https://item.taobao.com/item.htm?id=546031759257&ns=1&abbucket=0#detail,55.00,463人付款,江苏 苏州,BT5132XC/17,,薄,棉,2014年春季,休闲,花鸟图案,40-49周岁,宽松,单件,开衫,常规,方领,衬衫袖,单排扣,81%(含)-90%(含),绣花
母亲节衣服中年女春装长袖t恤40-50岁妈妈装夏装中老年人女装衬衫,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/TB1LSbqQFXXXXa.XVXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549026327406&ns=1&abbucket=0,128.00,647人付款,浙江 嘉兴,BDWSF8006 ,DUOYEREE/朵莹 ,薄 ,聚酯 ,2017年春季 ,知性 ,纯色 ,40-49周岁 ,宽松 ,单件 ,套头 ,常规 ,POLO领 ,灯笼袖 ,,96%及以上 ,
天天特价中老年夏女长袖雪纺衬衣妈妈春t恤老人60-70-80奶奶衬衫,https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/1686553271/TB2H7zWl1tTMeFjSZFOXXaTiVXa_!!1686553271.jpg,https://item.taobao.com/item.htm?id=529808872365&ns=1&abbucket=0#detail,29.00,245人付款,上海,,短袖  九分袖,薄,"雪纺,其他","2017年春季,2017年夏季",休闲,圆点,60周岁以上,宽松,单件,开衫,常规,方领,常规,单排扣,96%及以上,
中老年人女装夏装套装奶奶装短袖衬衫七分裤老人夏季衣服60-70岁,https://g-search1.alicdn.com/img/bao/uploaded/i4/i1/TB1kuYLQFXXXXaTaXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549044504767&ns=1&abbucket=0,89.00,290人付款,上海,9568 ,夕之美 ,超薄 ,聚酯 ,2017年夏季 ,福态 ,大花 ,60周岁以上 ,直筒 ,两件套 ,开衫 ,常规 ,圆领 ,常规 ,单排扣 ,96%及以上 ,镶钻 
中老年女装春装长袖衬衫40-50岁妈妈装夏装雪纺衫宽松大码T恤上衣,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/TB1sXZYQFXXXXb7XpXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=545010984066&ns=1&abbucket=0,89.00,784人付款,浙江 嘉兴,YBF-1803SYMM ,素依木木 ,薄 ,其他 ,2017年夏季 ,时尚 ,花色 ,40-49周岁 ,宽松 ,单件 ,套头 ,中长款 ,半开领 ,常规 ,单排扣 ,96%及以上 ,纽扣 
奶奶夏装上衣老年人女装妈妈装短袖T恤60-70岁老人春夏中袖衬衣女,https://g-search2.alicdn.com/img/bao/uploaded/i4/i2/407534273/TB2Nx2ikbBmpuFjSZFuXXaG_XXa_!!407534273.jpg,https://item.taobao.com/item.htm?id=547152062303&ns=1&abbucket=0#detail,39.00,357人付款,江苏 苏州,,,薄,聚酯,"2017年春季,2017年夏季",休闲,花色,60周岁以上,宽松,单件,开衫,常规,立领,常规,单排扣,81%(含)-90%(含),
母亲节夏装衬衫女七分袖中老年女装蚕丝衬衣真丝大码妈妈装上衣薄,https://g-search1.alicdn.com/img/bao/uploaded/i4/i4/2956033638/TB2PWgxnY8kpuFjy0FcXXaUhpXa_!!2956033638.jpg,https://item.taobao.com/item.htm?id=544567483369&ns=1&abbucket=0#detail,158.00,466人付款,浙江 嘉兴,7205,世绒之家,薄,"聚酯,蚕丝,棉,其他","2017年春季,2017年夏季",休闲,碎花,50-59周岁,宽松,单件,开衫,短款,其他,常规,,51%(含)-70%(含),
中老年女装2017春款新款长袖衬衫 中长款中年妈妈碎花衬衣打底衫,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/2056393606/TB2F0Ykc9xjpuFjSszeXXaeMVXa_!!2056393606.jpg,https://item.taobao.com/item.htm?id=544535537165&ns=1&abbucket=0#detail,58.00,661人付款,江苏 苏州,,,适中,聚酯,"2017年春季,2017年夏季",知性,碎花,40-49周岁,宽松,单件,开衫,中长款,方领,,单排扣,,纽扣
爱妈美中老年女装真丝桑蚕丝衬衫老年妈妈装夏装婆婆衫奶奶装B216,https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/TB1BOkJLVXXXXaiapXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=38362460573&ns=1&abbucket=0,158.00,404人付款,浙江 杭州,B216 ,爱妈美 ,薄 ,蚕丝 ,2014年夏季 ,知性 ,抽象图案 ,60周岁以上 ,宽松 ,单件 ,开衫 ,常规 ,圆领 ,常规 ,单排扣 ,96%及以上 ,
中老年女装夏装套装棉麻妈妈装短袖衬衫短裤老年人母亲节夏季衣服,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/TB1XtIuQpXXXXc3apXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=548335987598&ns=1&abbucket=0,89.00,344人付款,上海,6218 ,夕之美 ,薄 ,棉 ,2017年夏季 ,福态 ,格子 ,50-59周岁 ,直筒 ,两件套 ,开衫 ,常规 ,POLO领 ,,单排扣 ,81%(含)-90%(含) ,口袋 
籽煊妈妈装春装上衣薄牛仔T恤中老年女装外套大码中年衬衫40-50,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/TB1Zc_WHpXXXXahXpXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=39128079001&ns=1&abbucket=0,99.00,528人付款,湖北 武汉,ZX14B88836 ,籽煊 ,薄 ,纯棉 ,2016年春季 ,时尚 ,纯色 ,40-49周岁 ,宽松 ,单件 ,开衫 ,常规 ,POLO领 ,常规 ,单排扣 ,96%及以上 ,纽扣 
中老年人女装夏装印花妈妈装衬衫套装短款奶奶两件套上衣60-70岁,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/TB1IPCHQVXXXXaIXpXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549599283709&ns=1&abbucket=0,158.00,303人付款,浙江 嘉兴,YJJ17B7128 ,YANJIJI/羊吉吉 ,薄 ,其他 ,2017年夏季 ,福态 ,复古图案 ,50-59周岁 ,宽松 ,两件套 ,开衫 ,常规 ,POLO领 ,常规 ,单排扣 ,96%及以上 ,纽扣 
母亲节真丝中老年上衣夏装桑蚕丝妈妈装衬衫七分袖春装2017新款,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/TB1N3LFQFXXXXcVXFXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=546810297036&ns=1&abbucket=0,298.00,591人付款,浙江 杭州,2000 ,城市海岸 ,,蚕丝 ,2017年春季 ,时尚 ,纯色 ,,修身 ,单件 ,开衫 ,常规 ,POLO领 ,,单排扣 ,91%(含)-95%(含) ,
中老年女装纯棉衬衫长袖春夏装妈妈装格子衬衣全棉宽松老年人衬衣,https://g-search1.alicdn.com/img/bao/uploaded/i4/i8/TB1czFYQFXXXXczXFXXYXGcGpXX_M2.SS2,https://item.taobao.com/item.htm?id=43945998337&ns=1&abbucket=0#detail,58.00,1088人付款,北京,30#,鑫宏森,适中,纯棉,"2017年春季,2017年夏季",休闲,格子,50-59周岁,宽松,单件,开衫,中长款,POLO领,常规,单排扣,96%及以上,纽扣
母亲节中年妈妈春装衬衫长袖2017新款夏季牛仔外套上衣中老年女装,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/TB1ly_.PVXXXXb2XFXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=546424838623&ns=1&abbucket=0,149.00,650人付款,湖北 武汉,Q3296 ,Chophilly＆Co/乔芙丽 ,薄 ,棉 ,2017年春季 ,知性 ,花色 ,40-49周岁 ,宽松 ,单件 ,开衫 ,中长款 ,POLO领 ,常规 ,单排扣 ,51%(含)-70%(含) ,纽扣 
中老年人女装春装上衣妈妈装夏装雪纺衬衫短款T恤中年衬衣女长袖,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/TB1AgRTRXXXXXcpaXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=546265639803&ns=1&abbucket=0,128.00,520人付款,浙江 嘉兴,HT17-F060Y ,COLDRABBIT/寒兔 ,薄 ,其他 ,2017年春季 ,民族风 ,花鸟图案 ,40-49周岁 ,宽松 ,单件 ,开衫 ,短款 ,POLO领 ,常规 ,单排扣 ,96%及以上 ,纽扣 
中年妇女春秋长袖雪纺衫T恤中老年人夏装衬衫上衣妈妈装春装衬衣,https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/TB1hQ01LpXXXXb2XFXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=536948045124&ns=1&abbucket=0,98.00,579人付款,浙江 嘉兴,FEKL-6195 ,浅恋 ,适中 ,其他 ,2017年春季 ,知性 ,其他 ,40-49周岁 ,宽松 ,单件 ,套头 ,常规 ,V领 ,常规 ,,96%及以上 ,纽扣 
中老年大码女装衬衫40-50岁妈妈装夏装短袖套装中年女装t恤雪纺衫,https://g-search1.alicdn.com/img/bao/uploaded/i4/i6/TB1k.WSQFXXXXcIXpXXYXGcGpXX_M2.SS2,https://item.taobao.com/item.htm?id=548685880017&ns=1&abbucket=0#detail,59.00,486人付款,江苏 苏州,,,薄,"雪纺,蕾丝","2017年春季,2017年夏季",时尚,花色,40-49周岁,修身,两件套,套头,中长款,其他,其他,,71%(含)-80%(含),纱网
中年女装春装中袖T恤中老年夏装七分袖雪纺衬衫妈妈装中长款上衣,https://g-search3.alicdn.com/img/bao/uploaded/i4/i8/TB1Ud7WPVXXXXcgaFXXYXGcGpXX_M2.SS2,https://item.taobao.com/item.htm?id=546646128032&ns=1&abbucket=0#detail,48.00,295人付款,上海,,,薄,雪纺,"2017年春季,2017年夏季",知性,纯色,40-49周岁,宽松,单件,开衫,中长款,POLO领,常规,单排扣,96%及以上,纽扣
中老年人女装夏装短袖真丝衬衫老人奶奶装香云纱上衣妈妈装衣服60,https://g-search1.alicdn.com/img/bao/uploaded/i4/i1/TB1ZZPdRXXXXXbzXVXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=544821922896&ns=1&abbucket=0,298.00,457人付款,浙江 杭州,HJY1701-439 ,和家缘 ,薄 ,蚕丝 ,2017年春季 ,知性 ,花色 ,60周岁以上 ,宽松 ,单件 ,开衫 ,常规 ,POLO领 ,常规 ,单排扣 ,31%(含)-50%(含) ,纽扣 
中年人母亲节衣服妈妈装夏季上衣中老年女装夏装衬衫女七分袖雪纺,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/TB1JMVgQpXXXXcaapXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=520624443208&ns=1&abbucket=0,128.00,669人付款,广东 广州,J15QS13022 ,红城佳人 ,薄 ,LYCRA莱卡 ,2015年夏季 ,时尚 ,花色 ,40-49周岁 ,宽松 ,单件 ,开衫 ,常规 ,方领 ,常规 ,单排扣 ,30%及以下 ,纽扣 
新款中老年人短袖衬衫女 休闲50岁中年妇女服装妈妈装夏装翻领t恤,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/TB1dWd9QpXXXXbpXpXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=547612085918&ns=1&abbucket=0,148.00,395人付款,浙江 嘉兴,LZC88706 ,岚之秋 ,薄 ,聚酯 ,2017年夏季 ,时尚 ,花色 ,40-49周岁 ,宽松 ,单件 ,套头 ,常规 ,POLO领 ,常规 ,三粒扣 ,51%(含)-70%(含) ,纽扣 
蓝之蓓妈妈春装半袖印花衬衫夏真丝上衣七分袖桑蚕丝衬衣女中长款,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/TB1yCruLFXXXXbwXFXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=527217008697&ns=1&abbucket=0,299.00,580人付款,浙江 杭州,Z032T ,LANZIBES/蓝之蓓 ,适中 ,蚕丝 ,2016年夏季 ,通勤 ,花色 ,40-49周岁 ,宽松 ,单件 ,套头 ,中长款 ,立领 ,常规 ,,96%及以上 ,
母亲节中老年人女装春装60-70岁妈妈装老人夏季衣服奶奶夏装套装,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/TB1vk.zQXXXXXbQXpXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=547320055135&ns=1&abbucket=0,108.00,426人付款,江苏 苏州,1817-06 ,梵忆轩 ,适中 ,纯棉 ,2017年春季 ,朴实 ,条纹 ,50-59周岁 ,直筒 ,两件套 ,开衫 ,常规 ,POLO领 ,常规 ,单排扣 ,96%及以上 ,纽扣 
中老年女装春装打底衫T恤宽松衬衣妈妈装夏装上衣中年衬衫女长袖,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/929217260/TB2fFMHmS0mpuFjSZPiXXbssVXa_!!929217260.jpg,https://item.taobao.com/item.htm?id=548161721334&ns=1&abbucket=0#detail,29.90,388人付款,北京,8975,美如衣,薄,聚酯,"2017年春季,2017年夏季",时尚,花鸟图案,40-49周岁,宽松,单件,套头,常规,其他,常规,,96%及以上,纽扣
新款妈妈装夏装套装短袖t恤宽松中老年女装雪纺衬衫40-50岁两件套,https://g-search1.alicdn.com/img/bao/uploaded/i4/i4/TB1.gjxQVXXXXaPaFXXYXGcGpXX_M2.SS2,https://item.taobao.com/item.htm?id=549235989900&ns=1&abbucket=0#detail,78.00,333人付款,江苏 苏州,888,other/其他,适中,"雪纺,聚酯",2017年夏季,通勤,大花,40-49周岁,宽松,单件,开衫,常规,立领,常规,单排扣,71%(含)-80%(含),绣花
中老年女装衬衫纯棉格子衬衣大码妈妈装夏装七分袖衣服夏季新款棉,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/TB1GM_RQpXXXXcaaXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=527886658827&ns=1&abbucket=0,109.00,440人付款,湖北 武汉,MLYD2016CS098 ,曼丽依都 ,薄 ,纯棉 ,2016年夏季 ,休闲 ,格子 ,60周岁以上 ,宽松 ,单件 ,开衫 ,常规 ,POLO领 ,常规 ,单排扣 ,96%及以上 ,纽扣 
中年女装夏装短袖套装40-50岁 母亲节妈妈装修身雪纺衬衫夏季衣服,https://g-search1.alicdn.com/img/bao/uploaded/i4/i4/TB1wmCDQVXXXXahXVXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549557928053&ns=1&abbucket=0,69.00,259人付款,江苏 苏州,HHY4046A801 ,花惠羽 ,薄 ,其他 ,2017年夏季 ,时尚 ,纯色 ,40-49周岁 ,修身 ,两件套 ,开衫 ,常规 ,堆堆领 ,常规 ,,96%及以上 ,纽扣 
中老年女夏装T恤打底衫中年人纯棉衬衣中长款妈妈装大码中袖衬衫,https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/2781758876/TB2DZjLrmVmpuFjSZFFXXcZApXa_!!2781758876.png,https://item.taobao.com/item.htm?id=547682068275&ns=1&abbucket=0#detail,49.90,737人付款,江苏 苏州,j-813,,薄,"聚酯,棉",2017年夏季,民族风,花色,40-49周岁,宽松,单件,套头,中长款,V领,常规,三粒扣,91%(含)-95%(含),纽扣
天天特价 新款夏季中老年女装短袖t恤妈妈装夏装大码中袖衬衫女,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/2066122115/TB2u9NJkYVkpuFjSspcXXbSMVXa_!!2066122115.jpg,https://item.taobao.com/item.htm?id=44604019849&ns=1&abbucket=0#detail,29.90,301人付款,北京,518,,薄,"聚酯,棉,其他",2016年夏季,民族风,花色,40-49周岁,宽松,单件,套头,常规,圆领,常规,,96%及以上,
妈妈夏装上衣女40-50岁2017夏新款潮中年女装短袖雪纺衫宽松大码,https://g-search1.alicdn.com/img/bao/uploaded/i4/i4/TB15oejQFXXXXapXVXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=548609380901&ns=1&abbucket=0,58.30,359人付款,上海,FRS17MM6060 ,芙瑞诗 ,薄 ,其他 ,2017年夏季 ,时尚 ,抽象图案 ,40-49周岁 ,宽松 ,单件 ,开衫 ,常规 ,POLO领 ,常规 ,,96%及以上 ,纽扣 
妈妈夏装衬衫女短袖40-50岁2017新款中年女春装中老年人长袖上衣,https://g-search1.alicdn.com/img/bao/uploaded/i4/i4/TB1rbgLQVXXXXb3XFXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=548588721177&ns=1&abbucket=0,158.00,708人付款,河南 郑州,LC683 ,莱语 ,薄 ,聚酯 ,2017年夏季 ,时尚 ,抽象图案 ,40-49周岁 ,宽松 ,单件 ,开衫 ,常规 ,方领 ,常规 ,单排扣 ,91%(含)-95%(含) ,口袋 
妈妈装蕾丝衫春装大码雪纺衫夏装T恤上衣宽松中老年女装蕾丝衬衫,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/TB1VIZRQpXXXXXXapXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=40556124020&ns=1&abbucket=0,99.00,412人付款,湖北 武汉,14C1888 ,千香 ,适中 ,LYCRA莱卡 ,2016年春季 ,民族风 ,大花 ,,宽松 ,单件 ,开衫 ,中长款 ,半开领 ,泡泡袖 ,单排扣 ,30%及以下 ,纱网 
天天特价中老年春秋衬衫长袖翻领宽松妈妈装印花纯棉套头女装衬衣,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/3011824126/TB2EhA7cYBkpuFjy1zkXXbSpFXa_!!3011824126.jpg,https://item.taobao.com/item.htm?id=544621735416&ns=1&abbucket=0#detail,49.00,582人付款,江苏 苏州,CK024,,适中,棉,"2017年春季,2017年夏季",时尚,花色,40-49周岁,宽松,单件,套头,中长款,POLO领,常规,,96%及以上,口袋
