宝贝标题,图片Url,详情页Url,价格,销量,位置,货号,品牌,厚薄,面料,年份季节,中老年风格,中老年女装图案,适用年龄,服装版型,组合形式,穿着方式,衣长,领型,袖型,衣门襟,成分含量,服装款式细节
妈妈夏装雪纺T恤气质中老年女装短袖上衣40-50岁2017新款半袖衬衫,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/TB1TLfvRXXXXXaCXFXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=547917582810&ns=1&abbucket=0,88,2845人付款,江苏苏州,HW2017000060,洪威,薄,聚酯,2017年夏季,知性,花色,40-49周岁,宽松,单件,套头,中长款,圆领,,,96%及以上,
中老年女装春装2017新款上衣胖妈妈夏装40-50岁雪纺衫短袖t恤套装,https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/TB1KBEhPpXXXXXWXXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=530723864941&ns=1&abbucket=0,89,2410人付款,浙江嘉兴,dg-16321,晴旅,适中,其他,2016年秋季,时尚,花鸟图案,40-49周岁,宽松,单件,套头,常规,圆领,常规,,96%及以上,
中老年女装夏季短袖衬衫40-50岁妈妈装夏装衬衣老人衣服T恤上衣女,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/TB1tmM4QXXXXXbJaXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=545140428808&ns=1&abbucket=0,79,2421人付款,江苏苏州,NDJ17A004,LaDirregy/纳笛佳,薄,其他,2017年春季,知性,肌理图案,50-59周岁,直筒,单件,开衫,常规,POLO领,常规,单排扣,96%及以上,纽扣
妈妈装夏装中老年女装中袖/短袖雪纺衫T恤上衣裤子两件套装40-50,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/TB1Ms.NJpXXXXaJXpXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=44892550231&ns=1&abbucket=0,58,2768人付款,上海,YX15A192,炎鑫,薄,聚酯,2016年夏季,时尚,纯色,40-49周岁,宽松,两件套,套头,常规,圆领,常规,,96%及以上,
妈妈夏装套装50-60-70岁老人大码t恤奶奶装中老年女装短袖雪纺衫,https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/TB1qEyfQpXXXXbVXVXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=545302342112&ns=1&abbucket=0,99,2764人付款,浙江宁波,205-2,凯兰朵,薄,聚酯,2017年夏季,居家,花鸟图案,50-59周岁,宽松,单件,套头,常规,圆领,,,96%及以上,
奶奶装夏装女装70-80岁老人衣服t恤妈妈装套装中老年60老年衬衫薄,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/48166423/TB209ztkHBnpuFjSZFGXXX51pXa_!!48166423.jpg,https://item.taobao.com/item.htm?id=40314109916&ns=1&abbucket=0#detail,49,2164人付款,江苏苏州,,other/其他,薄,"雪纺,其他",2017年夏季,福态,其他,60周岁以上,宽松,两件套,开衫,短款,方领,常规,单排扣,31%(含)-50%(含),
中老年女装两件套夏季短袖T恤40-50岁中年妈妈装上衣裤子宽松套装,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/TB1lof0IVXXXXcUXpXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=530876062894&ns=1&abbucket=0,34.9,1958人付款,江苏苏州,1020,ABITLIKE,适中,聚酯,2016年夏季,知性,花色,40-49周岁,宽松,单件,套头,常规,,,,96%及以上,
妈妈装夏装套装大码40-50岁中年妇女短袖T恤上衣中老年女装两件套,https://g-search1.alicdn.com/img/bao/uploaded/i4/i1/TB1.V7TQFXXXXb9XXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549167097613&ns=1&abbucket=0,59,1675人付款,江苏苏州,YZR2917TZ17,衣之绒,薄,其他,2017年夏季,时尚,纯色,40-49周岁,宽松,两件套,套头,常规,V领,常规,,96%及以上,口袋
妈妈装夏装40-50岁短袖T恤中老年女装打底衫中年妇女大码小衫上衣,https://g-search1.alicdn.com/img/bao/uploaded/i4/i1/1584180606/TB2f8M.mgxlpuFjSszbXXcSVpXa_!!1584180606.jpg,https://item.taobao.com/item.htm?id=547650320112&ns=1&abbucket=0#detail,19.9,2668人付款,江苏苏州,,,适中,聚酯,2017年夏季,朴实,花鸟图案,40-49周岁,宽松,单件,套头,常规,圆领,,,,
中年女夏装短袖t恤2017新款潮大码打底衫40岁妈妈装夏季宽松上衣,https://g-search1.alicdn.com/img/bao/uploaded/i4/i1/TB1KNXoQVXXXXbxXpXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549328203959&ns=1&abbucket=0,138,2550人付款,浙江嘉兴,JH17B99512,简狐,薄,其他,2017年夏季,时尚,其他,40-49周岁,宽松,单件,套头,常规,圆领,蝙蝠袖,,30%及以下,镶钻
妈妈装夏装棉麻套装中老年短袖t恤两件套宽松老年人夏装女60-70岁,https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/TB1c1TZQFXXXXb4XVXXXXXXXXXX_!!0-item_pic.jpg,https://item.taobao.com/item.htm?id=549621717767&ns=1&abbucket=0#detail,69,1287人付款,江苏苏州,81555VB2113,,薄,棉麻,2017年夏季,时尚,花色,60周岁以上,宽松,两件套,套头,常规,圆领,常规,三粒扣,,绣花
妈妈装夏装t恤女40-50岁2017新款潮母亲节雪纺衫上衣中年两件套装,https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/TB14pQNQVXXXXbGXXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=546872107038&ns=1&abbucket=0,89,3064人付款,浙江宁波,TX0185,凯兰朵,薄,聚酯,2017年夏季,时尚,纯色,40-49周岁,宽松,单件,套头,常规,其他,喇叭袖,,96%及以上,绑带
母亲节迪葵纳妈妈装夏装新款中年上衣中老年女装短袖T恤WD6766轩,https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/TB1DvDRPVXXXXXSaXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=546347408142&ns=1&abbucket=0,116,3014人付款,山东济南,WD6766,Dequanna/迪葵纳,薄,聚酯,2017年夏季,时尚,大花,40-49周岁,宽松,单件,套头,常规,圆领,常规,,91%(含)-95%(含),
妈妈装夏装套装中老年女装夏季短袖T恤加肥加大奶奶装宽松两件套,https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/1942543772/TB2iP3YhMJkpuFjSszcXXXfsFXa_!!1942543772.jpg,https://item.taobao.com/item.htm?id=546771316917&ns=1&abbucket=0#detail,39,1815人付款,江苏苏州,AZ0316,,薄,"蕾丝,聚酯",2017年夏季,时尚,大花,50-59周岁,宽松,两件套,套头,常规,圆领,常规,,96%及以上,纱网
中年妈妈装短袖条纹百搭T恤衫薄中老年女装夏装大码上衣莫代尔棉,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/1120797382/TB29Yx7nbBnpuFjSZFGXXX51pXa_!!1120797382.jpg,https://item.taobao.com/item.htm?id=547925843726&ns=1&abbucket=0#detail,15.99,807人付款,江苏苏州,YYH66,,适中,"聚酯,棉,腈纶",2017年夏季,时尚,条纹,40-49周岁,修身,单件,套头,常规,圆领,常规,,96%及以上,
2017衬衫中年雪纺宽松大码上衣中老年女装妈妈装短袖T恤打底衫女,https://g-search1.alicdn.com/img/bao/uploaded/i4/i4/676112255/TB2ML0mqAqvpuFjSZFhXXaOgXXa_!!676112255.jpg,https://item.taobao.com/item.htm?id=547514079685&ns=1&abbucket=0#detail,26.9,2378人付款,北京,8868,,适中,"雪纺,聚酯",2017年夏季,休闲,碎花,,宽松,单件,套头,中长款,,,,,
妈妈夏装翻领t恤50-60岁中年妇女母亲节衣服中老年人女装短袖针织,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/TB1ORwLQXXXXXc1XXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=547338519054&ns=1&abbucket=0,148,2804人付款,浙江嘉兴,77LQ8710,岚之秋,薄,其他,2017年夏季,时尚,纯色,50-59周岁,宽松,单件,套头,常规,POLO领,常规,,91%(含)-95%(含),镶钻
中年女装夏装短袖t恤中老年宽松加肥加大码雪纺衫半袖妈妈装上衣,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/2056393606/TB2f60_h9VmpuFjSZFFXXcZApXa_!!2056393606.jpg,https://item.taobao.com/item.htm?id=546211461657&ns=1&abbucket=0#detail,39,569人付款,江苏苏州,JX-3309-1,,薄,,2017年夏季,时尚,花色,40-49周岁,宽松,单件,套头,常规,圆领,常规,,,镶钻
2017新款中年女夏装婆婆短袖上衣服装针织衫母亲节妈妈装翻领T恤,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/TB1PqdjRXXXXXa1XpXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=547228617567&ns=1&abbucket=0,128,2059人付款,浙江嘉兴,PMLG99666,帕米拉,薄,其他,2017年夏季,休闲,纯色,40-49周岁,宽松,单件,套头,常规,POLO领,常规,,96%及以上,镶钻
40岁妈妈夏装套装两件套雪纺衫上衣大码中年女夏装新潮母亲节衣服,https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/1670385316/TB2ibSoqUdnpuFjSZPhXXbChpXa_!!1670385316.jpg,https://item.taobao.com/item.htm?id=549699134303&ns=1&abbucket=0#detail,99,1800人付款,江苏苏州,BYBH-17666,,,"雪纺,其他",2017年夏季,时尚,其他,40-49周岁,宽松,两件套,套头,常规,其他,花瓣袖,,81%(含)-90%(含),
中老年女装夏装套装40-50岁妈妈装短袖雪纺T恤衫上衣裤子两件套,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/TB1IX9LQVXXXXaKapXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=529638134497&ns=1&abbucket=0,69,2022人付款,上海,4556,简港,薄,其他,2017年夏季,知性,纯色,40-49周岁,宽松,两件套,套头,中长款,圆领,常规,,96%及以上,纱网
2017新款妈妈装夏装T恤中年女装宽松打底衫大码短袖针织衫上衣,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/2200221779/TB28gwAnilnpuFjSZFgXXbi7FXa_!!2200221779.jpg,https://item.taobao.com/item.htm?id=548324024604&ns=1&abbucket=0#detail,88,1977人付款,浙江嘉兴,,诗语诺,薄,其他,2017年夏季,时尚,其他,40-49周岁,宽松,单件,套头,常规,圆领,常规,,31%(含)-50%(含),镶钻
妈妈夏装短袖T恤纯棉麻40-50岁宽松中老年女装夏季中年女大码上衣,https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/2810996058/TB2AyesrstnpuFjSZFKXXalFFXa_!!2810996058.jpg,https://item.taobao.com/item.htm?id=547511406535&ns=1&abbucket=0#detail,38.6,2159人付款,江苏苏州,,,,,2017年夏季,时尚,花色,40-49周岁,宽松,单件,套头,短款,圆领,,,,
奶奶装夏装两件套装中老年人女装短袖春装唐装妈妈夏季老人衣服,https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/TB1axGTQVXXXXaKXXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=545681956692&ns=1&abbucket=0,118,1674人付款,浙江金华,C-B807,大唐夫人,薄,聚酯,2017年春季,高贵,风景,60周岁以上,宽松,两件套,开衫,常规,立领,,单排扣,91%(含)-95%(含),绣花
母亲节衣服中老年夏装女雪纺衫中长款中年胖妈妈春装上衣40-50岁,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/TB1Vg0MQXXXXXX7apXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=546669637904&ns=1&abbucket=0,128,2932人付款,湖北武汉,LNXZ1701#,香江美妈,薄,聚酯,2017年夏季,时尚,花色,40-49周岁,宽松,单件,套头,中长款,圆领,常规,,91%(含)-95%(含),
2017新款中老年妈妈夏装短袖T恤母亲节衣服中年女装夏季40岁50潮,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/TB11VPpQFXXXXXbXXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=547234836476&ns=1&abbucket=0,79,2372人付款,浙江嘉兴,HY1717,韶妃,,其他,2017年春季,知性,其他,50-59周岁,宽松,单件,套头,常规,圆领,蝙蝠袖,,96%及以上,
妈妈夏装套装40-50岁时尚衣服中年人妇女短袖上衣中老年女装T恤丅,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/TB12sRWQpXXXXarapXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=547669840887&ns=1&abbucket=0,69,2133人付款,江苏苏州,OLY-XMTQ1845,欧力羽,适中,聚酯,2017年夏季,休闲,花色,40-49周岁,修身,单件,套头,常规,圆领,其他,,96%及以上,褶皱
妈妈装短袖T恤打底衫夏季中年汗衫夏装加大码中老年人女装针织衫,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/TB1IObnQXXXXXc7XVXXXXXXXXXX_!!0-item_pic.jpg,https://item.taobao.com/item.htm?id=547123558242&ns=1&abbucket=0#detail,85,1852人付款,浙江嘉兴,,,薄,,"2017年春季,2017年夏季",知性,纯色,40-49周岁,宽松,单件,套头,常规,圆领,常规,,,镶钻
母亲节衣服中年妈妈夏装套装短袖T恤雪纺衫中老年女装印花两件套,https://g-search1.alicdn.com/img/bao/uploaded/i4/i1/TB1UbLnQVXXXXbXapXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549664282107&ns=1&abbucket=0,138,1790人付款,浙江嘉兴,TFNQQ9973,拓芙尼,薄,聚酯,2017年夏季,时尚,花鸟图案,40-49周岁,宽松,两件套,套头,中长款,V领,常规,,96%及以上,口袋
中老年女装运动套装大码短袖T恤40-50岁中年妈妈装夏装纯棉两件套,https://g-search2.alicdn.com/img/bao/uploaded/i4/i2/863036946/TB2zXOvlgRkpuFjy1zeXXc.6FXa_!!863036946.jpg,https://item.taobao.com/item.htm?id=546747484053&ns=1&abbucket=0#detail,128,2885人付款,北京,,,适中,纯棉,2017年夏季,运动,花鸟图案,40-49周岁,宽松,两件套,套头,常规,圆领,蝙蝠袖,,91%(含)-95%(含),
妈妈装T恤短袖中长款中老年女装春装雪纺衬衫大码中年女夏装上衣,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/TB1hIcaQVXXXXbRXFXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549231653096&ns=1&abbucket=0,148,3076人付款,浙江嘉兴,ER17BA113ZJ,鄂尔夫人,薄,其他,2017年夏季,时尚,碎花,40-49周岁,宽松,单件,套头,中长款,V领,常规,,96%及以上,纽扣
香颜妈妈装夏装短袖上衣中老年女装夏季雪纺衫中年女春装时尚T恤,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/TB1l2FSQVXXXXXCXFXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=548209542397&ns=1&abbucket=0,138,2334人付款,浙江嘉兴,XYYRL9101,香颜,薄,其他,2017年夏季,时尚,条纹,40-49周岁,宽松,单件,套头,常规,圆领,常规,,96%及以上,褶皱
中老年女装夏季蝙蝠袖T恤妈妈装夏装短袖上衣大码中年印花打底衫,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/1594744985/TB2gUrffMxlpuFjSszbXXcSVpXa_!!1594744985.jpg,https://item.taobao.com/item.htm?id=545878399514&ns=1&abbucket=0#detail,26,1822人付款,江苏苏州,,,薄,"聚酯,棉,莫代尔",2017年夏季,时尚,其他,40-49周岁,宽松,单件,套头,常规,圆领,常规,,,
母亲节衣服中年女装两件套40-50岁妈妈装夏装中老年人短袖t恤套装,https://g-search2.alicdn.com/img/bao/uploaded/i4/i2/TB10eIMKVXXXXbxXpXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=535859411974&ns=1&abbucket=0,79,2930人付款,浙江嘉兴,ADAP18807,DUOYEREE/朵莹,适中,聚酯,2016年秋季,知性,碎花,40-49周岁,宽松,单件,开衫,常规,圆领,常规,,96%及以上,
妈妈装夏装时髦套装上衣女30-40岁50中老年两件套中年女装短袖T恤,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/TB1.BkOQVXXXXbTXpXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549810789964&ns=1&abbucket=0,89,1820人付款,江苏苏州,OLY-BA1732-1025,欧力羽,薄,聚酯,2017年夏季,时尚,肌理图案,40-49周岁,宽松,两件套,套头,常规,圆领,常规,,96%及以上,荷叶边
妈妈夏装套装女40-50岁2017新款母亲节中老年女装雪纺衫t恤+裤子,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/TB18NGoRXXXXXcPaXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=548991799289&ns=1&abbucket=0,129,2377人付款,浙江宁波,TZ0531,凯兰朵,薄,聚酯,2017年夏季,时尚,花鸟图案,40-49周岁,宽松,两件套,套头,常规,圆领,常规,,91%(含)-95%(含),口袋
中老年女装夏装套装妈妈装短袖雪纺T恤衫中年妇女上衣+裤子两件套,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/2463804566/TB2UWZzmstnpuFjSZFvXXbcTpXa_!!2463804566.jpg,https://item.taobao.com/item.htm?id=546643086869&ns=1&abbucket=0#detail,39.9,1825人付款,江苏苏州,,,薄,雪纺,2017年夏季,休闲,花色,40-49周岁,宽松,两件套,套头,中长款,圆领,常规,,81%(含)-90%(含),绣花
奶奶夏装衬衣60-70岁中老年人女装短袖老人春装薄衣服妈妈上衣T恤,https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/TB1leQ6QpXXXXcxaXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=545307084093&ns=1&abbucket=0,99,1782人付款,浙江金华,L-7FX,大唐夫人,适中,聚酯,2017年春季,朴实,花色,60周岁以上,宽松,单件,开衫,常规,半开领,常规,单排扣,91%(含)-95%(含),纽扣
妈妈装夏装棉麻套装中老年女装短袖t恤亚麻七分裤大码母亲节衣服,https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/TB1veDyRXXXXXcwXXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=548756122684&ns=1&abbucket=0,99,1922人付款,上海,9545,夕之美,薄,其他,2017年夏季,民族风,大花,50-59周岁,直筒,两件套,套头,常规,圆领,常规,,96%及以上,纽扣
预售迪葵纳妈妈装夏装新款上衣中老年女装雪纺衫中年T恤WD5402轩,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/TB1Jr65PFXXXXbDXpXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=527160469141&ns=1&abbucket=0,129,2849人付款,山东济南,WD5402,Dequanna/迪葵纳,薄,聚酯,2017年夏季,时尚,其他,40-49周岁,宽松,假两件,套头,中长款,圆领,灯笼袖,,96%及以上,褶皱
香颜妈妈夏装套装40-50岁中年女装短袖T恤上衣裤子两件套雪纺衫,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/TB1RTSpRXXXXXccXFXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=548295343753&ns=1&abbucket=0,158,2281人付款,浙江嘉兴,XYWHGZYDN957,香颜,适中,其他,2017年夏季,时尚,其他,40-49周岁,宽松,两件套,套头,常规,圆领,常规,,96%及以上,口袋
妈妈夏装两件套装40-50岁中年女夏装套装短袖t恤雪纺衫母亲节衣服,https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/TB11NfzQVXXXXXfaFXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=545095136268&ns=1&abbucket=0,99,2538人付款,浙江嘉兴,HH-1706,卓美特,薄,其他,2017年夏季,时尚,条纹,40-49周岁,宽松,两件套,套头,常规,圆领,常规,,96%及以上,绑带
妈妈装夏装短袖上衣中老年女装套装40-50岁大码t恤中年妇女两件套,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/2910106359/TB2kV6gpmFmpuFjSZFrXXayOXXa_!!2910106359.jpg,https://item.taobao.com/item.htm?id=549345519384&ns=1&abbucket=0#detail,29.9,1734人付款,江苏苏州,015-8,,薄,其他,2017年夏季,时尚,花鸟图案,40-49周岁,修身,两件套,套头,常规,圆领,插肩袖,,51%(含)-70%(含),镶钻
中老年女装夏装40-50岁棉麻两件套妈妈装短袖t恤休闲时尚大码套装,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/2415760278/TB2O1eEjShlpuFjSspkXXa1ApXa_!!2415760278.jpg,https://item.taobao.com/item.htm?id=547470997893&ns=1&abbucket=0#detail,69,2066人付款,浙江嘉兴,B6670,,薄,其他,2017年夏季,休闲,其他,40-49周岁,宽松,两件套,套头,常规,圆领,常规,,71%(含)-80%(含),口袋
中年女装t恤衫母亲节衣服夏季短袖40-50岁2017新款妈妈装夏装上衣,https://g-search1.alicdn.com/img/bao/uploaded/i4/i1/TB1_L_GQFXXXXX4XXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=548869120030&ns=1&abbucket=0,158,2408人付款,浙江嘉兴,MUYA2720,岚之秋,薄,其他,2017年夏季,时尚,其他,40-49周岁,宽松,单件,套头,常规,圆领,常规,,91%(含)-95%(含),钉珠
妈妈夏装套装短袖40-50岁两件套中老年女t恤中年女雪纺衫上衣时髦,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/TB1Yr35QFXXXXadaXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=548302309886&ns=1&abbucket=0,118,2402人付款,浙江嘉兴,C-Y-XH34701,言情之音,适中,聚酯,2017年夏季,时尚,花色,40-49周岁,宽松,单件,套头,常规,圆领,常规,,96%及以上,镶钻
中年女装套装夏装新款妈妈装40-50岁T恤衫阔腿裤中老年宽松两件套,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/2081236405/TB2N0FyoCBjpuFjy1XdXXaooVXa_!!2081236405.jpg,https://item.taobao.com/item.htm?id=549229865885&ns=1&abbucket=0#detail,69,1678人付款,江苏苏州,C062,,薄,"聚酯,其他",2017年夏季,时尚,条纹,40-49周岁,宽松,两件套,套头,常规,圆领,常规,,,
中老年女妈妈装夏装套装新款夏季短袖T恤40-50岁大码宽松中年上衣,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/TB1kY79QpXXXXXKXpXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=547467076502&ns=1&abbucket=0,59,3106人付款,江苏苏州,AMM1703XS2412,阿妈迷,适中,涤纶,2017年夏季,时尚,抽象图案,40-49周岁,宽松,单件,套头,常规,圆领,常规,,96%及以上,
中老年妈妈夏装套装新款潮雪纺衫短袖t恤40-50岁中年女大码两件套,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/TB1mg_vQVXXXXaOXpXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549738207421&ns=1&abbucket=0,168,2216人付款,浙江嘉兴,JH17B75-1,简狐,薄,聚酯,2017年夏季,知性,花鸟图案,40-49周岁,宽松,两件套,套头,常规,圆领,常规,,96%及以上,
母亲节衣服夏季妈妈夏装两件套上衣中年女40-50岁中老年女装套装,https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/TB1_EwxQVXXXXbFXFXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=550109754434&ns=1&abbucket=0,89,1504人付款,江苏苏州,SN17C0017,素奴,薄,聚酯,2017年夏季,时尚,花色,40-49周岁,宽松,两件套,套头,常规,圆领,常规,一粒扣,96%及以上,口袋
中老年女装夏装套装短袖t恤妈妈装大码两件套40-60岁夏季棉麻套装,https://g-search2.alicdn.com/img/bao/uploaded/i4/i2/TB1bta_RXXXXXczaXXXXXXXXXXX_!!0-item_pic.jpg,https://item.taobao.com/item.htm?id=548649659328&ns=1&abbucket=0#detail,38,1305人付款,江苏苏州,,,适中,,2017年夏季,休闲,大花,,宽松,两件套,套头,常规,圆领,常规,,,绣花
中老年女装夏装仿真丝短袖T恤40-50岁妈妈装中年妇女夏季新款上衣,https://g-search1.alicdn.com/img/bao/uploaded/i4/i1/2692102716/TB2Ysv.hyC9MuFjSZFoXXbUzFXa_!!2692102716.jpg,https://item.taobao.com/item.htm?id=547199033137&ns=1&abbucket=0#detail,29,2379人付款,江苏苏州,YL17219,,薄,其他,2017年夏季,时尚,花色,40-49周岁,直筒,单件,套头,常规,圆领,常规,,91%(含)-95%(含),纽扣
中老年女装两件套连衣裙妈妈装夏装短袖外套女40-50岁防晒衣新款,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/TB1DxesQFXXXXX_XVXXYXGcGpXX_M2.SS2,https://detail.tmall.com/item.htm?id=547621456031&ns=1&abbucket=0,99,2602人付款,江苏苏州,DM-30,多纤美,,聚酯,2017年夏季,时尚,纯色,40-49周岁,宽松,两件套,开衫,中长款,圆领,,,96%及以上,
中年妈妈装夏装短袖t恤两件套装中老年女装中袖雪纺衫40-50岁上衣,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/TB1_91mQFXXXXafapXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=548574758436&ns=1&abbucket=0,48,2167人付款,江苏苏州,LHC-028*29,兰花瓷,薄,其他,2017年夏季,时尚,其他,40-49周岁,宽松,两件套,套头,常规,圆领,常规,,96%及以上,
奶奶t恤夏装老年人套装女装60-70岁80老人短袖衣服妈妈老太太裤子,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/1658139192/TB2Tp1Em90jpuFjy0FlXXc0bpXa_!!1658139192.jpg,https://item.taobao.com/item.htm?id=547266875160&ns=1&abbucket=0#detail,38,1615人付款,江苏苏州,,,薄,"聚酯,其他",2017年夏季,休闲,碎花,60周岁以上,,两件套,套头,常规,圆领,常规,单排扣,,
中老年女装妈妈装夏装短袖雪纺衫女中年加大码T恤上衣40-50岁夏季,https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/1053538840/TB2fpXZiChlpuFjSspkXXa1ApXa_!!1053538840.jpg,https://item.taobao.com/item.htm?id=547096535332&ns=1&abbucket=0#detail,69,2510人付款,北京,,璐仙姿,薄,雪纺,2017年夏季,时尚,纯色,40-49周岁,宽松,单件,套头,常规,V领,常规,,96%及以上,绣花
母亲节妈妈夏装运动装中年女装两件套大码短袖t恤中老年上衣+裤子,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/TB1.JXeQVXXXXaHXFXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549336627813&ns=1&abbucket=0,158,2355人付款,浙江嘉兴,JH17B9711,简狐,,其他,2017年夏季,时尚,其他,40-49周岁,宽松,两件套,套头,常规,高领,蝙蝠袖,,51%(含)-70%(含),口袋
中老年女装春秋装大码妈妈装真两件套中年T恤开衫夏装短袖针织衫,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/914805073/TB2TuQqguJ8puFjy1XbXXagqVXa_!!914805073.jpg,https://item.taobao.com/item.htm?id=524002772417&ns=1&abbucket=0#detail,79.8,2519人付款,浙江嘉兴,6680款,泽羊,适中,其他,2017年春季,通勤,纯色,40-49周岁,宽松,两件套,开衫,常规,圆领,常规,,51%(含)-70%(含),绣花
